active,base,futures,quote,spot,swap,symbol,type
False,BTC,False,USD4,True,False,BTC/USD4,spot
False,ETH,False,USD4,True,False,ETH/USD4,spot
False,XRP,False,USD4,True,False,XRP/USD4,spot
False,BCH,False,USD4,True,False,BCH/USD4,spot
False,LTC,False,USD4,True,False,LTC/USD4,spot
False,USDT,False,USD4,True,False,USDT/USD4,spot
True,BTC,False,USDT,True,False,BTC/USDT,spot
True,ETH,False,USDT,True,False,ETH/USDT,spot
True,XRP,False,USDT,True,False,XRP/USDT,spot
True,BCH,False,USDT,True,False,BCH/USDT,spot
True,LTC,False,USDT,True,False,LTC/USDT,spot
False,BNB,False,USD4,True,False,BNB/USD4,spot
True,BNB,False,USDT,True,False,BNB/USDT,spot
True,ETH,False,BTC,True,False,ETH/BTC,spot
False,XRP,False,BTC,True,False,XRP/BTC,spot
True,BNB,False,BTC,True,False,BNB/BTC,spot
False,LTC,False,BTC,True,False,LTC/BTC,spot
False,BCH,False,BTC,True,False,BCH/BTC,spot
False,ADA,False,USD4,True,False,ADA/USD4,spot
False,BAT,False,USD4,True,False,BAT/USD4,spot
False,ETC,False,USD4,True,False,ETC/USD4,spot
False,XLM,False,USD4,True,False,XLM/USD4,spot
False,ZRX,False,USD4,True,False,ZRX/USD4,spot
True,ADA,False,USDT,True,False,ADA/USDT,spot
True,BAT,False,USDT,True,False,BAT/USDT,spot
True,ETC,False,USDT,True,False,ETC/USDT,spot
True,XLM,False,USDT,True,False,XLM/USDT,spot
True,ZRX,False,USDT,True,False,ZRX/USDT,spot
False,LINK,False,USD4,True,False,LINK/USD4,spot
False,RVN,False,USD4,True,False,RVN/USD4,spot
False,DASH,False,USD4,True,False,DASH/USD4,spot
False,ZEC,False,USD4,True,False,ZEC/USD4,spot
False,ALGO,False,USD4,True,False,ALGO/USD4,spot
False,IOTA,False,USD4,True,False,IOTA/USD4,spot
False,BUSD,False,USD4,True,False,BUSD/USD4,spot
False,BTC,False,BUSD,True,False,BTC/BUSD,spot
True,DOGE,False,USDT,True,False,DOGE/USDT,spot
