active,base,futures,quote,spot,swap,symbol,type
True,AAVE,False,USD,True,False,AAVE/USD,spot
True,AAVE,False,USDT,True,False,AAVE/USDT,spot
True,ADA,False,BTC,True,False,ADA/BTC,spot
True,ADA,False,USD,True,False,ADA/USD,spot
True,ADA,False,USDT,True,False,ADA/USDT,spot
True,ALGO,False,USD,True,False,ALGO/USD,spot
True,ALT2612,False,USD,True,False,ALT2612/USD,spot
True,ALT2612,False,USDT,True,False,ALT2612/USDT,spot
True,AMPL,False,USD,True,False,AMPL/USD,spot
True,AMPL,False,USDT,True,False,AMPL/USDT,spot
True,APE,False,USD,True,False,APE/USD,spot
True,APE,False,USDT,True,False,APE/USDT,spot
True,APT,False,USD,True,False,APT/USD,spot
True,APT,False,USDT,True,False,APT/USDT,spot
True,ARB,False,USD,True,False,ARB/USD,spot
True,ARB,False,USDT,True,False,ARB/USDT,spot
True,ATH,False,USD,True,False,ATH/USD,spot
True,ATH,False,USDT,True,False,ATH/USDT,spot
True,ATOM,False,USD,True,False,ATOM/USD,spot
True,ATOM,False,USDT,True,False,ATOM/USDT,spot
True,AUSDT,False,USD,True,False,AUSDT/USD,spot
True,AUSDT,False,USDT,True,False,AUSDT/USDT,spot
True,AVAX,False,BTC,True,False,AVAX/BTC,spot
True,AVAX,False,USD,True,False,AVAX/USD,spot
True,AVAX,False,USDT,True,False,AVAX/USDT,spot
True,B2M,False,USD,True,False,B2M/USD,spot
True,B2M,False,USDT,True,False,B2M/USDT,spot
True,BCH,False,USD,True,False,BCH/USD,spot
True,BGB,False,USD,True,False,BGB/USD,spot
True,BGB,False,USDT,True,False,BGB/USDT,spot
True,BMN2,False,BTC,True,False,BMN2/BTC,spot
True,BMN2,False,USD,True,False,BMN2/USD,spot
True,BONK,False,USD,True,False,BONK/USD,spot
True,BONK,False,USDT,True,False,BONK/USDT,spot
True,BTC,False,EURQ,True,False,BTC/EURQ,spot
True,BTC,False,EURR,True,False,BTC/EURR,spot
True,BTC,False,USDQ,True,False,BTC/USDQ,spot
True,BTC,False,USDR,True,False,BTC/USDR,spot
True,BTC,False,XAUT,True,False,BTC/XAUT,spot
True,BTC,False,EUR,True,False,BTC/EUR,spot
True,BTC,False,GBP,True,False,BTC/GBP,spot
True,BTC,False,TRY,True,False,BTC/TRY,spot
True,BTC,False,USD,True,False,BTC/USD,spot
True,BTC,False,USDT,True,False,BTC/USDT,spot
True,CELO,False,USD,True,False,CELO/USD,spot
True,CELO,False,USDT,True,False,CELO/USDT,spot
True,CHZ,False,USD,True,False,CHZ/USD,spot
True,CHZ,False,USDT,True,False,CHZ/USDT,spot
True,CNHT,False,USD,True,False,CNHT/USD,spot
True,COMP,False,USD,True,False,COMP/USD,spot
True,COMP,False,USDT,True,False,COMP/USDT,spot
True,CRV,False,USD,True,False,CRV/USD,spot
True,CRV,False,USDT,True,False,CRV/USDT,spot
True,DOGE,False,BTC,True,False,DOGE/BTC,spot
True,DOGE,False,USD,True,False,DOGE/USD,spot
True,DOGE,False,USDT,True,False,DOGE/USDT,spot
True,DOT,False,USD,True,False,DOT/USD,spot
True,DOT,False,USDT,True,False,DOT/USDT,spot
True,DASH,False,BTC,True,False,DASH/BTC,spot
True,DASH,False,USD,True,False,DASH/USD,spot
True,DYM,False,USD,True,False,DYM/USD,spot
True,DYM,False,USDT,True,False,DYM/USDT,spot
True,EGLD,False,USD,True,False,EGLD/USD,spot
True,EGLD,False,USDT,True,False,EGLD/USDT,spot
True,EIGEN,False,USD,True,False,EIGEN/USD,spot
True,EIGEN,False,USDT,True,False,EIGEN/USDT,spot
True,ENA,False,USD,True,False,ENA/USD,spot
True,ENA,False,USDT,True,False,ENA/USDT,spot
True,EOS,False,USD,True,False,EOS/USD,spot
True,EOS,False,USDT,True,False,EOS/USDT,spot
True,ETC,False,BTC,True,False,ETC/BTC,spot
True,ETC,False,USD,True,False,ETC/USD,spot
True,ETC,False,USDT,True,False,ETC/USDT,spot
True,ETH2X,False,ETH,True,False,ETH2X/ETH,spot
True,ETH2X,False,USD,True,False,ETH2X/USD,spot
True,ETH2X,False,USDT,True,False,ETH2X/USDT,spot
True,ETH,False,XAUT,True,False,ETH/XAUT,spot
True,ETH,False,BTC,True,False,ETH/BTC,spot
True,ETH,False,EUR,True,False,ETH/EUR,spot
True,ETH,False,GBP,True,False,ETH/GBP,spot
True,ETH,False,USD,True,False,ETH/USD,spot
True,ETH,False,USDT,True,False,ETH/USDT,spot
True,EURQ,False,EUR,True,False,EURQ/EUR,spot
True,EURQ,False,USD,True,False,EURQ/USD,spot
True,EURQ,False,USDT,True,False,EURQ/USDT,spot
True,EURR,False,EUR,True,False,EURR/EUR,spot
True,EURR,False,USD,True,False,EURR/USD,spot
True,EURR,False,USDT,True,False,EURR/USDT,spot
True,EUR,False,USDT,True,False,EUR/USDT,spot
True,FET,False,USD,True,False,FET/USD,spot
True,FET,False,USDT,True,False,FET/USDT,spot
True,FIL,False,USD,True,False,FIL/USD,spot
True,FIL,False,USDT,True,False,FIL/USDT,spot
True,GALA,False,USD,True,False,GALA/USD,spot
True,GALA,False,USDT,True,False,GALA/USDT,spot
True,GBP,False,USDT,True,False,GBP/USDT,spot
True,GOMINING,False,USD,True,False,GOMINING/USD,spot
True,GOMINING,False,USDT,True,False,GOMINING/USDT,spot
True,GTX,False,USD,True,False,GTX/USD,spot
True,GTX,False,USDT,True,False,GTX/USDT,spot
True,GUN,False,USD,True,False,GUN/USD,spot
True,GUN,False,USDT,True,False,GUN/USDT,spot
True,HYPE,False,USD,True,False,HYPE/USD,spot
True,HYPE,False,USDT,True,False,HYPE/USDT,spot
True,IOTA,False,USD,True,False,IOTA/USD,spot
True,JPY,False,USDT,True,False,JPY/USDT,spot
True,JUP,False,USD,True,False,JUP/USD,spot
True,JUP,False,USDT,True,False,JUP/USDT,spot
True,JXX,False,USD,True,False,JXX/USD,spot
True,JXX,False,USDT,True,False,JXX/USDT,spot
True,KAIA,False,USD,True,False,KAIA/USD,spot
True,KAIA,False,USDT,True,False,KAIA/USDT,spot
True,KAVA,False,USD,True,False,KAVA/USD,spot
True,KAVA,False,USDT,True,False,KAVA/USDT,spot
True,LDO,False,USD,True,False,LDO/USD,spot
True,LDO,False,USDT,True,False,LDO/USDT,spot
True,LEO,False,BTC,True,False,LEO/BTC,spot
True,LEO,False,USD,True,False,LEO/USD,spot
True,LEO,False,USDT,True,False,LEO/USDT,spot
True,LIFIII,False,USD,True,False,LIFIII/USD,spot
True,LIFIII,False,USDT,True,False,LIFIII/USDT,spot
True,LINK,False,USD,True,False,LINK/USD,spot
True,LINK,False,USDT,True,False,LINK/USDT,spot
True,LTC,False,BTC,True,False,LTC/BTC,spot
True,LTC,False,USD,True,False,LTC/USD,spot
True,LTC,False,USDT,True,False,LTC/USDT,spot
True,MNT,False,USD,True,False,MNT/USD,spot
True,MNT,False,USDT,True,False,MNT/USDT,spot
True,MXNT,False,USD,True,False,MXNT/USD,spot
True,NEAR,False,USD,True,False,NEAR/USD,spot
True,NEAR,False,USDT,True,False,NEAR/USDT,spot
True,NEO,False,USD,True,False,NEO/USD,spot
True,NEO,False,USDT,True,False,NEO/USDT,spot
True,NEXO,False,BTC,True,False,NEXO/BTC,spot
True,NEXO,False,USD,True,False,NEXO/USD,spot
True,NEXO,False,USDT,True,False,NEXO/USDT,spot
True,NYM,False,USD,True,False,NYM/USD,spot
True,NYM,False,USDT,True,False,NYM/USDT,spot
True,OMN,False,USD,True,False,OMN/USD,spot
True,OPX,False,USD,True,False,OPX/USD,spot
