active,base,futures,quote,spot,swap,symbol,type
True,LUMIA,False,USDT,True,False,LUMIA/USDT,spot
True,GOAT,False,USDT,True,False,GOAT/USDT,spot
True,ENA,False,EUR,True,False,ENA/EUR,spot
True,TON,False,EUR,True,False,TON/EUR,spot
True,SHIB,False,EUR,True,False,SHIB/EUR,spot
True,WLD,False,EUR,True,False,WLD/EUR,spot
True,DBR,False,USDT,True,False,DBR/USDT,spot
True,ACT,False,USDT,True,False,ACT/USDT,spot
True,GRASS,False,USDT,True,False,GRASS/USDT,spot
True,SUI,False,EUR,True,False,SUI/EUR,spot
True,TRX,False,USDT,True,False,TRX/USDT,spot
True,X,False,USDT,True,False,X/USDT,spot
True,LINK,False,USDT,True,False,LINK/USDT,spot
True,ONDO,False,EUR,True,False,ONDO/EUR,spot
True,UNI,False,USDT,True,False,UNI/USDT,spot
True,SUSHI,False,USDT,True,False,SUSHI/USDT,spot
True,COMP,False,USDT,True,False,COMP/USDT,spot
True,AAVE,False,USDT,True,False,AAVE/USDT,spot
True,YFI,False,USDT,True,False,YFI/USDT,spot
True,NEAR,False,EUR,True,False,NEAR/EUR,spot
True,DOGE,False,USDT,True,False,DOGE/USDT,spot
True,CHZ,False,USDT,True,False,CHZ/USDT,spot
True,PNUT,False,USDT,True,False,PNUT/USDT,spot
True,SWELL,False,USDT,True,False,SWELL/USDT,spot
True,BAN,False,USDT,True,False,BAN/USDT,spot
True,NFP,False,USDT,True,False,NFP/USDT,spot
True,NS,False,USDT,True,False,NS/USDT,spot
True,HIPPO,False,USDT,True,False,HIPPO/USDT,spot
True,FARTCOIN,False,USDT,True,False,FARTCOIN/USDT,spot
True,PEAQ,False,USDT,True,False,PEAQ/USDT,spot
True,BTC,False,WUSD,True,False,BTC/WUSD,spot
True,SWCH,False,USDT,True,False,SWCH/USDT,spot
True,AI,False,USDT,True,False,AI/USDT,spot
True,SOL,False,USDE,True,False,SOL/USDE,spot
True,SNEK,False,USDT,True,False,SNEK/USDT,spot
True,OORT,False,USDT,True,False,OORT/USDT,spot
True,SOLO,False,USDT,True,False,SOLO/USDT,spot
True,XAI,False,USDT,True,False,XAI/USDT,spot
True,FIS,False,USDT,True,False,FIS/USDT,spot
True,ELA,False,USDT,True,False,ELA/USDT,spot
True,RDNT,False,USDT,True,False,RDNT/USDT,spot
True,SAROS,False,USDT,True,False,SAROS/USDT,spot
True,MANTA,False,USDT,True,False,MANTA/USDT,spot
True,PONKE,False,USDT,True,False,PONKE/USDT,spot
True,PROPS,False,USDT,True,False,PROPS/USDT,spot
True,UPC,False,USDT,True,False,UPC/USDT,spot
True,ORAI,False,USDT,True,False,ORAI/USDT,spot
True,IOST,False,USDT,True,False,IOST/USDT,spot
True,CORE,False,USDT,True,False,CORE/USDT,spot
True,ALT,False,USDT,True,False,ALT/USDT,spot
True,ONDO,False,USDT,True,False,ONDO/USDT,spot
True,WIF,False,USDT,True,False,WIF/USDT,spot
True,AVA,False,USDT,True,False,AVA/USDT,spot
True,THE,False,USDT,True,False,THE/USDT,spot
True,CHESS,False,USDT,True,False,CHESS/USDT,spot
True,JUP,False,USDT,True,False,JUP/USDT,spot
True,BLUR,False,USDT,True,False,BLUR/USDT,spot
True,API3,False,USDT,True,False,API3/USDT,spot
True,XAUT,False,USDT,True,False,XAUT/USDT,spot
True,RARE,False,USDT,True,False,RARE/USDT,spot
True,TRU,False,USDT,True,False,TRU/USDT,spot
True,USDC,False,EUR,True,False,USDC/EUR,spot
True,CFX,False,USDT,True,False,CFX/USDT,spot
True,ZETA,False,USDT,True,False,ZETA/USDT,spot
True,MDT,False,USDT,True,False,MDT/USDT,spot
True,VELODROME,False,USDT,True,False,VELODROME/USDT,spot
True,DYM,False,USDT,True,False,DYM/USDT,spot
True,MAVIA,False,USDT,True,False,MAVIA/USDT,spot
True,NAVX,False,USDT,True,False,NAVX/USDT,spot
True,TRAC,False,USDT,True,False,TRAC/USDT,spot
True,LQTY,False,USDT,True,False,LQTY/USDT,spot
True,STRK,False,USDT,True,False,STRK/USDT,spot
True,WLD,False,USDC,True,False,WLD/USDC,spot
True,HTX,False,USDT,True,False,HTX/USDT,spot
True,NEO,False,USDT,True,False,NEO/USDT,spot
True,PIXEL,False,USDT,True,False,PIXEL/USDT,spot
True,PRIME,False,USDT,True,False,PRIME/USDT,spot
True,ELON,False,USDT,True,False,ELON/USDT,spot
True,ASTR,False,USDT,True,False,ASTR/USDT,spot
True,VELO,False,USDT,True,False,VELO/USDT,spot
True,STX,False,USDT,True,False,STX/USDT,spot
True,FON,False,USDT,True,False,FON/USDT,spot
True,TRX,False,ETH,True,False,TRX/ETH,spot
True,LTC,False,ETH,True,False,LTC/ETH,spot
True,RON,False,USDT,True,False,RON/USDT,spot
True,XEM,False,USDT,True,False,XEM/USDT,spot
True,ZEN,False,USDT,True,False,ZEN/USDT,spot
True,PEOPLE,False,USDT,True,False,PEOPLE/USDT,spot
True,METIS,False,USDT,True,False,METIS/USDT,spot
True,ACA,False,USDT,True,False,ACA/USDT,spot
True,BABYDOGE,False,USDT,True,False,BABYDOGE/USDT,spot
True,JUV,False,USDT,True,False,JUV/USDT,spot
True,KAIA,False,USDT,True,False,KAIA/USDT,spot
True,USDC,False,USDT,True,False,USDC/USDT,spot
True,AUDIO,False,USDT,True,False,AUDIO/USDT,spot
True,C98,False,USDT,True,False,C98/USDT,spot
True,TLOS,False,USDT,True,False,TLOS/USDT,spot
True,ILV,False,USDT,True,False,ILV/USDT,spot
True,WEMIX,False,USDT,True,False,WEMIX/USDT,spot
True,RSS3,False,USDT,True,False,RSS3/USDT,spot
True,ARPA,False,USDT,True,False,ARPA/USDT,spot
True,DUSK,False,USDT,True,False,DUSK/USDT,spot
True,WOO,False,USDT,True,False,WOO/USDT,spot
True,FTT,False,USDT,True,False,FTT/USDT,spot
True,WIN,False,USDT,True,False,WIN/USDT,spot
True,SUN,False,USDT,True,False,SUN/USDT,spot
True,PSTAKE,False,USDT,True,False,PSTAKE/USDT,spot
True,AR,False,USDT,True,False,AR/USDT,spot
True,PERP,False,USDT,True,False,PERP/USDT,spot
True,LUNA,False,USDT,True,False,LUNA/USDT,spot
True,GMT,False,USDT,True,False,GMT/USDT,spot
True,SD,False,USDT,True,False,SD/USDT,spot
True,MAGIC,False,USDT,True,False,MAGIC/USDT,spot
True,KSM,False,USDT,True,False,KSM/USDT,spot
True,APE,False,USDT,True,False,APE/USDT,spot
True,POKT,False,USDT,True,False,POKT/USDT,spot
True,XDC,False,USDT,True,False,XDC/USDT,spot
True,ADA,False,USDT,True,False,ADA/USDT,spot
True,EGLD,False,USDT,True,False,EGLD/USDT,spot
True,STG,False,USDT,True,False,STG/USDT,spot
True,RUNE,False,USDT,True,False,RUNE/USDT,spot
True,COW,False,USDT,True,False,COW/USDT,spot
True,RAY,False,USDT,True,False,RAY/USDT,spot
True,DODO,False,USDT,True,False,DODO/USDT,spot
True,ORCA,False,USDT,True,False,ORCA/USDT,spot
True,MORPHO,False,USDT,True,False,MORPHO/USDT,spot
True,BTC,False,USDE,True,False,BTC/USDE,spot
True,ETH,False,USDE,True,False,ETH/USDE,spot
True,CHEEMS,False,USDT,True,False,CHEEMS/USDT,spot
True,ZRC,False,USDT,True,False,ZRC/USDT,spot
True,AIXBT,False,USDT,True,False,AIXBT/USDT,spot
True,CLANKER,False,USDT,True,False,CLANKER/USDT,spot
