active,base,futures,quote,spot,swap,symbol,type
True,BTC,False,USD,True,False,BTC/USD,spot
True,BTC,False,EUR,True,False,BTC/EUR,spot
True,BTC,False,GBP,True,False,BTC/GBP,spot
True,GBP,False,USD,True,False,GBP/USD,spot
True,EUR,False,USD,True,False,EUR/USD,spot
True,XRP,False,USD,True,False,XRP/USD,spot
True,XRP,False,EUR,True,False,XRP/EUR,spot
True,XRP,False,BTC,True,False,XRP/BTC,spot
True,XRP,False,GBP,True,False,XRP/GBP,spot
True,LTC,False,BTC,True,False,LTC/BTC,spot
True,LTC,False,USD,True,False,LTC/USD,spot
True,LTC,False,EUR,True,False,LTC/EUR,spot
True,ETH,False,BTC,True,False,ETH/BTC,spot
True,ETH,False,USD,True,False,ETH/USD,spot
True,ETH,False,EUR,True,False,ETH/EUR,spot
True,ETH,False,GBP,True,False,ETH/GBP,spot
True,BCH,False,USD,True,False,BCH/USD,spot
True,BCH,False,EUR,True,False,BCH/EUR,spot
True,XLM,False,USD,True,False,XLM/USD,spot
True,XLM,False,EUR,True,False,XLM/EUR,spot
True,XLM,False,GBP,True,False,XLM/GBP,spot
True,LINK,False,USD,True,False,LINK/USD,spot
True,LINK,False,EUR,True,False,LINK/EUR,spot
True,LINK,False,GBP,True,False,LINK/GBP,spot
True,USDC,False,USD,True,False,USDC/USD,spot
True,USDC,False,EUR,True,False,USDC/EUR,spot
True,BTC,False,USDC,True,False,BTC/USDC,spot
True,ETH,False,USDC,True,False,ETH/USDC,spot
True,ETH2,False,ETH,True,False,ETH2/ETH,spot
True,AAVE,False,USD,True,False,AAVE/USD,spot
True,AAVE,False,EUR,True,False,AAVE/EUR,spot
True,AAVE,False,BTC,True,False,AAVE/BTC,spot
True,BAT,False,USD,True,False,BAT/USD,spot
True,BAT,False,EUR,True,False,BAT/EUR,spot
True,UMA,False,USD,True,False,UMA/USD,spot
True,UMA,False,EUR,True,False,UMA/EUR,spot
True,DAI,False,USD,True,False,DAI/USD,spot
True,KNC,False,USD,True,False,KNC/USD,spot
True,KNC,False,EUR,True,False,KNC/EUR,spot
True,MKR,False,USD,True,False,MKR/USD,spot
True,MKR,False,EUR,True,False,MKR/EUR,spot
True,ZRX,False,USD,True,False,ZRX/USD,spot
True,ZRX,False,EUR,True,False,ZRX/EUR,spot
True,ALGO,False,USD,True,False,ALGO/USD,spot
True,ALGO,False,EUR,True,False,ALGO/EUR,spot
True,AUDIO,False,USD,True,False,AUDIO/USD,spot
True,AUDIO,False,EUR,True,False,AUDIO/EUR,spot
True,CRV,False,USD,True,False,CRV/USD,spot
True,CRV,False,EUR,True,False,CRV/EUR,spot
