active,base,futures,quote,spot,swap,symbol,type
True,BTC,False,USDC,True,False,BTC/USDC,spot
True,BTC,False,USD,True,False,BTC/USD,spot
True,ETH,False,USD,True,False,ETH/USD,spot
True,ETH,False,USDC,True,False,ETH/USDC,spot
True,XRP,False,USD,True,False,XRP/USD,spot
True,XRP,False,USDC,True,False,XRP/USDC,spot
True,SOL,False,USD,True,False,SOL/USD,spot
True,SOL,False,USDC,True,False,SOL/USDC,spot
True,ZEC,False,USD,True,False,ZEC/USD,spot
True,ZEC,False,USDC,True,False,ZEC/USDC,spot
True,LINK,False,USD,True,False,LINK/USD,spot
True,LINK,False,USDC,True,False,LINK/USDC,spot
True,USDT,False,USD,True,False,USDT/USD,spot
True,DOGE,False,USD,True,False,DOGE/USD,spot
True,DOGE,False,USDC,True,False,DOGE/USDC,spot
True,FARTCOIN,False,USD,True,False,FARTCOIN/USD,spot
True,FARTCOIN,False,USDC,True,False,FARTCOIN/USDC,spot
True,ADA,False,USD,True,False,ADA/USD,spot
True,ADA,False,USDC,True,False,ADA/USDC,spot
True,SUI,False,USD,True,False,SUI/USD,spot
True,SUI,False,USDC,True,False,SUI/USDC,spot
True,USDC,False,EUR,True,False,USDC/EUR,spot
True,BTC,False,EUR,True,False,BTC/EUR,spot
True,AAVE,False,USD,True,False,AAVE/USD,spot
True,AAVE,False,USDC,True,False,AAVE/USDC,spot
True,PENGU,False,USD,True,False,PENGU/USD,spot
True,PENGU,False,USDC,True,False,PENGU/USDC,spot
True,HBAR,False,USD,True,False,HBAR/USD,spot
True,HBAR,False,USDC,True,False,HBAR/USDC,spot
True,MON,False,USD,True,False,MON/USD,spot
True,MON,False,USDC,True,False,MON/USDC,spot
True,USDC,False,GBP,True,False,USDC/GBP,spot
True,AVAX,False,USD,True,False,AVAX/USD,spot
True,AVAX,False,USDC,True,False,AVAX/USDC,spot
True,TAO,False,USD,True,False,TAO/USD,spot
True,TAO,False,USDC,True,False,TAO/USDC,spot
True,BTC,False,USDT,True,False,BTC/USDT,spot
True,LTC,False,USD,True,False,LTC/USD,spot
True,LTC,False,USDC,True,False,LTC/USDC,spot
True,XLM,False,USD,True,False,XLM/USD,spot
True,XLM,False,USDC,True,False,XLM/USDC,spot
True,BCH,False,USD,True,False,BCH/USD,spot
True,BCH,False,USDC,True,False,BCH/USDC,spot
True,ETH,False,EUR,True,False,ETH/EUR,spot
True,ETH,False,USDT,True,False,ETH/USDT,spot
True,PEPE,False,USD,True,False,PEPE/USD,spot
True,PEPE,False,USDC,True,False,PEPE/USDC,spot
True,BONK,False,USD,True,False,BONK/USD,spot
True,BONK,False,USDC,True,False,BONK/USDC,spot
True,UNI,False,USD,True,False,UNI/USD,spot
True,UNI,False,USDC,True,False,UNI/USDC,spot
True,BTC,False,GBP,True,False,BTC/GBP,spot
True,ONDO,False,USD,True,False,ONDO/USD,spot
True,ONDO,False,USDC,True,False,ONDO/USDC,spot
True,ICP,False,EUR,True,False,ICP/EUR,spot
True,DOT,False,USD,True,False,DOT/USD,spot
True,DOT,False,USDC,True,False,DOT/USDC,spot
True,ICP,False,USD,True,False,ICP/USD,spot
True,ICP,False,USDC,True,False,ICP/USDC,spot
True,ZEN,False,USD,True,False,ZEN/USD,spot
True,ZEN,False,USDC,True,False,ZEN/USDC,spot
True,NEAR,False,USD,True,False,NEAR/USD,spot
True,NEAR,False,USDC,True,False,NEAR/USDC,spot
True,A8,False,USD,True,False,A8/USD,spot
True,A8,False,USDC,True,False,A8/USDC,spot
True,MOODENG,False,USD,True,False,MOODENG/USD,spot
True,MOODENG,False,USDC,True,False,MOODENG/USDC,spot
True,ETH,False,GBP,True,False,ETH/GBP,spot
True,AERO,False,USD,True,False,AERO/USD,spot
True,AERO,False,USDC,True,False,AERO/USDC,spot
True,FET,False,USD,True,False,FET/USD,spot
True,FET,False,USDC,True,False,FET/USDC,spot
True,SOL,False,EUR,True,False,SOL/EUR,spot
True,USDT,False,EUR,True,False,USDT/EUR,spot
True,EURC,False,USDC,True,False,EURC/USDC,spot
True,WIF,False,USD,True,False,WIF/USD,spot
True,WIF,False,USDC,True,False,WIF/USDC,spot
True,USELESS,False,USD,True,False,USELESS/USD,spot
True,USELESS,False,USDC,True,False,USELESS/USDC,spot
True,DASH,False,USD,True,False,DASH/USD,spot
True,DASH,False,USDC,True,False,DASH/USDC,spot
True,PUMP,False,USD,True,False,PUMP/USD,spot
True,PUMP,False,USDC,True,False,PUMP/USDC,spot
True,TRUMP,False,USD,True,False,TRUMP/USD,spot
True,TRUMP,False,USDC,True,False,TRUMP/USDC,spot
True,APT,False,USD,True,False,APT/USD,spot
True,APT,False,USDC,True,False,APT/USDC,spot
True,TIA,False,USD,True,False,TIA/USD,spot
True,TIA,False,USDC,True,False,TIA/USDC,spot
True,XRP,False,EUR,True,False,XRP/EUR,spot
True,USDT,False,USDC,True,False,USDT/USDC,spot
True,SEI,False,USD,True,False,SEI/USD,spot
True,SEI,False,USDC,True,False,SEI/USDC,spot
True,CRV,False,USD,True,False,CRV/USD,spot
True,CRV,False,USDC,True,False,CRV/USDC,spot
True,SOL,False,USDT,True,False,SOL/USDT,spot
True,MAGIC,False,USD,True,False,MAGIC/USD,spot
True,MAGIC,False,USDC,True,False,MAGIC/USDC,spot
True,ENA,False,USD,True,False,ENA/USD,spot
True,ENA,False,USDC,True,False,ENA/USDC,spot
True,ZORA,False,USD,True,False,ZORA/USD,spot
True,ZORA,False,USDC,True,False,ZORA/USDC,spot
True,PRIME,False,USD,True,False,PRIME/USD,spot
True,PRIME,False,USDC,True,False,PRIME/USDC,spot
True,ARB,False,USD,True,False,ARB/USD,spot
True,ARB,False,USDC,True,False,ARB/USDC,spot
True,WLFI,False,USD,True,False,WLFI/USD,spot
True,WLFI,False,USDC,True,False,WLFI/USDC,spot
True,SPX,False,USD,True,False,SPX/USD,spot
True,SPX,False,USDC,True,False,SPX/USDC,spot
True,NMR,False,USD,True,False,NMR/USD,spot
True,NMR,False,USDC,True,False,NMR/USDC,spot
True,WLD,False,USD,True,False,WLD/USD,spot
True,WLD,False,USDC,True,False,WLD/USDC,spot
True,STRK,False,USD,True,False,STRK/USD,spot
True,STRK,False,USDC,True,False,STRK/USDC,spot
True,INJ,False,USD,True,False,INJ/USD,spot
True,INJ,False,USDC,True,False,INJ/USDC,spot
True,AAVE,False,EUR,True,False,AAVE/EUR,spot
True,BOBBOB,False,USD,True,False,BOBBOB/USD,spot
True,BOBBOB,False,USDC,True,False,BOBBOB/USDC,spot
True,IP,False,USD,True,False,IP/USD,spot
True,IP,False,USDC,True,False,IP/USDC,spot
True,ASTER,False,USD,True,False,ASTER/USD,spot
True,ASTER,False,USDC,True,False,ASTER/USDC,spot
True,BCH,False,EUR,True,False,BCH/EUR,spot
True,AVNT,False,USD,True,False,AVNT/USD,spot
True,AVNT,False,USDC,True,False,AVNT/USDC,spot
True,IRYS,False,USD,True,False,IRYS/USD,spot
True,IRYS,False,USDC,True,False,IRYS/USDC,spot
True,SHIB,False,USD,True,False,SHIB/USD,spot
True,SHIB,False,USDC,True,False,SHIB/USDC,spot
True,HBAR,False,USDT,True,False,HBAR/USDT,spot
True,CRO,False,USD,True,False,CRO/USD,spot
True,CRO,False,USDC,True,False,CRO/USDC,spot
True,ADA,False,EUR,True,False,ADA/EUR,spot
True,RLS,False,USD,True,False,RLS/USD,spot
True,RLS,False,USDC,True,False,RLS/USDC,spot
True,ATOM,False,GBP,True,False,ATOM/GBP,spot
True,XCN,False,USD,True,False,XCN/USD,spot
True,XCN,False,USDC,True,False,XCN/USDC,spot
True,TOSHI,False,USD,True,False,TOSHI/USD,spot
True,TOSHI,False,USDC,True,False,TOSHI/USDC,spot
True,ATOM,False,USD,True,False,ATOM/USD,spot
True,ATOM,False,USDC,True,False,ATOM/USDC,spot
True,FIL,False,USD,True,False,FIL/USD,spot
True,FIL,False,USDC,True,False,FIL/USDC,spot
True,STX,False,USD,True,False,STX/USD,spot
True,STX,False,USDC,True,False,STX/USDC,spot
True,JASMY,False,USD,True,False,JASMY/USD,spot
True,JASMY,False,USDC,True,False,JASMY/USDC,spot
True,ALLO,False,USD,True,False,ALLO/USD,spot
True,ALLO,False,USDC,True,False,ALLO/USDC,spot
True,VET,False,USD,True,False,VET/USD,spot
True,VET,False,USDC,True,False,VET/USDC,spot
True,USDT,False,GBP,True,False,USDT/GBP,spot
True,POPCAT,False,USD,True,False,POPCAT/USD,spot
True,POPCAT,False,USDC,True,False,POPCAT/USDC,spot
True,MANTLE,False,USDC,True,False,MANTLE/USDC,spot
True,MANTLE,False,USD,True,False,MANTLE/USD,spot
True,ATOM,False,EUR,True,False,ATOM/EUR,spot
True,QNT,False,USD,True,False,QNT/USD,spot
True,QNT,False,USDC,True,False,QNT/USDC,spot
True,IMX,False,USD,True,False,IMX/USD,spot
True,IMX,False,USDC,True,False,IMX/USDC,spot
True,RENDER,False,USD,True,False,RENDER/USD,spot
True,RENDER,False,USDC,True,False,RENDER/USDC,spot
True,BNB,False,USD,True,False,BNB/USD,spot
True,BNB,False,USDC,True,False,BNB/USDC,spot
True,SOL,False,GBP,True,False,SOL/GBP,spot
True,FLR,False,USD,True,False,FLR/USD,spot
True,FLR,False,USDC,True,False,FLR/USDC,spot
True,SAPIEN,False,USD,True,False,SAPIEN/USD,spot
True,SAPIEN,False,USDC,True,False,SAPIEN/USDC,spot
True,LRDS,False,USD,True,False,LRDS/USD,spot
True,LRDS,False,USDC,True,False,LRDS/USDC,spot
True,BAT,False,USD,True,False,BAT/USD,spot
True,BAT,False,USDC,True,False,BAT/USDC,spot
True,MET,False,USD,True,False,MET/USD,spot
True,MET,False,USDC,True,False,MET/USDC,spot
True,PENDLE,False,USD,True,False,PENDLE/USD,spot
True,PENDLE,False,USDC,True,False,PENDLE/USDC,spot
True,SHIB,False,GBP,True,False,SHIB/GBP,spot
True,AVAX,False,EUR,True,False,AVAX/EUR,spot
True,POL,False,USD,True,False,POL/USD,spot
True,POL,False,USDC,True,False,POL/USDC,spot
True,AXL,False,USD,True,False,AXL/USD,spot
True,AXL,False,USDC,True,False,AXL/USDC,spot
True,LTC,False,EUR,True,False,LTC/EUR,spot
True,ZRO,False,USD,True,False,ZRO/USD,spot
True,ZRO,False,USDC,True,False,ZRO/USDC,spot
True,ALGO,False,USD,True,False,ALGO/USD,spot
True,ALGO,False,USDC,True,False,ALGO/USDC,spot
True,CBETH,False,USD,True,False,CBETH/USD,spot
True,CBETH,False,USDC,True,False,CBETH/USDC,spot
