active,base,futures,quote,spot,swap,symbol,type
True,ALEPH,False,USDT,True,False,ALEPH/USDT,spot
True,ORNJ,False,USDT,True,False,ORNJ/USDT,spot
True,HAM,False,USDT,True,False,HAM/USDT,spot
True,POOL,False,USDT,True,False,POOL/USDT,spot
True,HARD,False,USDT,True,False,HARD/USDT,spot
True,FALCONS,False,USDT,True,False,FALCONS/USDT,spot
True,PEIPEI,False,USDT,True,False,PEIPEI/USDT,spot
True,HFT,False,USDT,True,False,HFT/USDT,spot
True,COINX,False,USDT,True,False,COINX/USDT,spot
True,FYDE,False,USDT,True,False,FYDE/USDT,spot
True,VET,False,USDT,True,False,VET/USDT,spot
True,HAPPY,False,USDT,True,False,HAPPY/USDT,spot
True,ARG,False,USDT,True,False,ARG/USDT,spot
True,BLUE,False,USDT,True,False,BLUE/USDT,spot
True,HGPT,False,USDT,True,False,HGPT/USDT,spot
True,CLEAR,False,USDT,True,False,CLEAR/USDT,spot
True,ACNON,False,USDT,True,False,ACNON/USDT,spot
True,PYM,False,USDT,True,False,PYM/USDT,spot
True,FLOCK3S,False,USDT,True,False,FLOCK3S/USDT,spot
True,KGEN,False,USDT,True,False,KGEN/USDT,spot
True,COTI,False,USDT,True,False,COTI/USDT,spot
True,XRP,False,USDC,True,False,XRP/USDC,spot
True,SKYA,False,USDT,True,False,SKYA/USDT,spot
True,BRISE,False,USDT,True,False,BRISE/USDT,spot
True,XRP,False,USDT,True,False,XRP/USDT,spot
True,SMX,False,USDT,True,False,SMX/USDT,spot
True,PAXG,False,USDT,True,False,PAXG/USDT,spot
True,TAP,False,USDT,True,False,TAP/USDT,spot
True,MLT,False,USDT,True,False,MLT/USDT,spot
True,ZBT,False,USDT,True,False,ZBT/USDT,spot
True,WIF5S,False,USDT,True,False,WIF5S/USDT,spot
True,XAVA,False,USDT,True,False,XAVA/USDT,spot
True,MDUS,False,USDT,True,False,MDUS/USDT,spot
True,CBK,False,USDT,True,False,CBK/USDT,spot
True,SIN,False,USDT,True,False,SIN/USDT,spot
True,UNA,False,USDT,True,False,UNA/USDT,spot
True,AGENT,False,USDT,True,False,AGENT/USDT,spot
