active,base,futures,quote,spot,swap,symbol,type
,2Z,False,GUSD,True,False,2Z/GUSD,spot
,2ZRL,False,USD,True,False,2ZRL/USD,spot
,2Z,False,USD,True,False,2Z/USD,spot
,2Z,False,USDC,True,False,2Z/USDC,spot
,AAVE,False,GUSD,True,False,AAVE/GUSD,spot
,AAVERL,False,USD,True,False,AAVERL/USD,spot
,AAVE,False,USD,True,False,AAVE/USD,spot
,AAVE,False,USDC,True,False,AAVE/USDC,spot
,ALI,False,GUSD,True,False,ALI/GUSD,spot
,ALIRL,False,USD,True,False,ALIRL/USD,spot
,ALI,False,USD,True,False,ALI/USD,spot
,ALI,False,USDC,True,False,ALI/USDC,spot
,AMP,False,GUSD,True,False,AMP/GUSD,spot
,AMPRL,False,USD,True,False,AMPRL/USD,spot
,AMP,False,USD,True,False,AMP/USD,spot
,AMP,False,USDC,True,False,AMP/USDC,spot
,ANKR,False,GUSD,True,False,ANKR/GUSD,spot
,ANKRRL,False,USD,True,False,ANKRRL/USD,spot
,ANKR,False,USD,True,False,ANKR/USD,spot
,ANKR,False,USDC,True,False,ANKR/USDC,spot
,APE,False,GUSD,True,False,APE/GUSD,spot
,APERL,False,USD,True,False,APERL/USD,spot
,APE,False,USD,True,False,APE/USD,spot
,APE,False,USDC,True,False,APE/USDC,spot
,API3,False,GUSD,True,False,API3/GUSD,spot
,API3RL,False,USD,True,False,API3RL/USD,spot
,API3,False,USD,True,False,API3/USD,spot
,API3,False,USDC,True,False,API3/USDC,spot
,ARB,False,GUSD,True,False,ARB/GUSD,spot
,ARBRL,False,USD,True,False,ARBRL/USD,spot
,ARB,False,USD,True,False,ARB/USD,spot
,ARB,False,USDC,True,False,ARB/USDC,spot
,ATOM,False,GUSD,True,False,ATOM/GUSD,spot
,ATOMRL,False,USD,True,False,ATOMRL/USD,spot
,ATOM,False,USD,True,False,ATOM/USD,spot
,ATOM,False,USDC,True,False,ATOM/USDC,spot
,AUD,False,GUSD,True,False,AUD/GUSD,spot
,AUDRL,False,USD,True,False,AUDRL/USD,spot
,AUD,False,USD,True,False,AUD/USD,spot
,AUD,False,USDC,True,False,AUD/USDC,spot
,AVAX,False,GUSD,True,False,AVAX/GUSD,spot
,AVAXRL,False,USD,True,False,AVAXRL/USD,spot
,AVAX,False,USD,True,False,AVAX/USD,spot
,AVAX,False,USDC,True,False,AVAX/USDC,spot
,BAT,False,GUSD,True,False,BAT/GUSD,spot
,BATRL,False,USD,True,False,BATRL/USD,spot
,BAT,False,USD,True,False,BAT/USD,spot
