active,base,futures,quote,spot,swap,symbol,type
False,ALT0,False,USDT,True,False,ALT0/USDT,spot
True,KAIA,False,USDT,True,False,KAIA/USDT,spot
True,MOODENG,False,USDT,True,False,MOODENG/USDT,spot
False,QOM,False,USDT,True,False,QOM/USDT,spot
False,AMU,False,USDT,True,False,AMU/USDT,spot
True,COW,False,USDT,True,False,COW/USDT,spot
False,XTM,False,USDT,True,False,XTM/USDT,spot
True,KITE,False,USDT,True,False,KITE/USDT,spot
True,SPK,False,USDT,True,False,SPK/USDT,spot
True,USDD,False,USDT,True,False,USDD/USDT,spot
False,EOS3L,False,USDT,True,False,EOS3L/USDT,spot
False,LRC,False,USDC,True,False,LRC/USDC,spot
True,BABYDOGE,False,USDT,True,False,BABYDOGE/USDT,spot
False,PEARL,False,ETH,True,False,PEARL/ETH,spot
True,JTO,False,USDT,True,False,JTO/USDT,spot
False,ABT,False,BTC,True,False,ABT/BTC,spot
False,LTC3L,False,USDT,True,False,LTC3L/USDT,spot
False,ELIZACTO,False,USDT,True,False,ELIZACTO/USDT,spot
False,NEAR,False,USDD,True,False,NEAR/USDD,spot
True,DAI,False,USDT,True,False,DAI/USDT,spot
False,PANDO,False,USDT,True,False,PANDO/USDT,spot
True,HOLOWORLD,False,USDT,True,False,HOLOWORLD/USDT,spot
False,AST,False,ETH,True,False,AST/ETH,spot
False,NEUR,False,USDT,True,False,NEUR/USDT,spot
False,PHX,False,BTC,True,False,PHX/BTC,spot
False,MT,False,BTC,True,False,MT/BTC,spot
False,NEST,False,USDT,True,False,NEST/USDT,spot
True,OG,False,USDT,True,False,OG/USDT,spot
True,GHST,False,USDT,True,False,GHST/USDT,spot
False,KMD,False,BTC,True,False,KMD/BTC,spot
False,ZEC,False,HUSD,True,False,ZEC/HUSD,spot
False,SLC,False,USDT,True,False,SLC/USDT,spot
True,EGLD,False,USDT,True,False,EGLD/USDT,spot
False,RENBTC,False,BTC,True,False,RENBTC/BTC,spot
True,CVC,False,USDT,True,False,CVC/USDT,spot
True,BICO,False,USDT,True,False,BICO/USDT,spot
False,SLOP,False,USDT,True,False,SLOP/USDT,spot
True,ZBCN,False,USDT,True,False,ZBCN/USDT,spot
False,LAMB,False,ETH,True,False,LAMB/ETH,spot
False,MCG,False,USDT,True,False,MCG/USDT,spot
False,UNI,False,BTC,True,False,UNI/BTC,spot
False,SOL,False,USDD,True,False,SOL/USDD,spot
False,RADAR,False,USDT,True,False,RADAR/USDT,spot
True,BANK,False,USDT,True,False,BANK/USDT,spot
False,XRP,False,USDC,True,False,XRP/USDC,spot
False,RVN,False,BTC,True,False,RVN/BTC,spot
False,OGN,False,BTC,True,False,OGN/BTC,spot
False,USDT,False,TRY,True,False,USDT/TRY,spot
False,BBF,False,USDT,True,False,BBF/USDT,spot
True,PING,False,USDT,True,False,PING/USDT,spot
True,MAGIC,False,USDT,True,False,MAGIC/USDT,spot
False,EOS,False,HT,True,False,EOS/HT,spot
True,SNS,False,USDT,True,False,SNS/USDT,spot
False,NSURE,False,ETH,True,False,NSURE/ETH,spot
False,BXEN,False,USDT,True,False,BXEN/USDT,spot
False,CVNT,False,ETH,True,False,CVNT/ETH,spot
False,UC,False,ETH,True,False,UC/ETH,spot
True,XCH,False,USDT,True,False,XCH/USDT,spot
False,MRS,False,USDT,True,False,MRS/USDT,spot
True,POLS,False,USDT,True,False,POLS/USDT,spot
False,EPIK,False,USDT,True,False,EPIK/USDT,spot
True,ACE,False,USDT,True,False,ACE/USDT,spot
False,STEEM,False,BTC,True,False,STEEM/BTC,spot
True,EUL,False,USDT,True,False,EUL/USDT,spot
True,ES,False,USDT,True,False,ES/USDT,spot
False,ANTEX,False,USDT,True,False,ANTEX/USDT,spot
True,BROCCOLI,False,USDT,True,False,BROCCOLI/USDT,spot
False,NPXS,False,BTC,True,False,NPXS/BTC,spot
True,ZRC,False,USDT,True,False,ZRC/USDT,spot
False,DATX,False,ETH,True,False,DATX/ETH,spot
False,GNO,False,BTC,True,False,GNO/BTC,spot
False,AAVE,False,USDC,True,False,AAVE/USDC,spot
False,NAS,False,BTC,True,False,NAS/BTC,spot
True,BIO,False,USDT,True,False,BIO/USDT,spot
False,BULL,False,USDT,True,False,BULL/USDT,spot
False,XNO,False,BTC,True,False,XNO/BTC,spot
False,ETH,False,EUROC,True,False,ETH/EUROC,spot
True,AIXBT,False,USDT,True,False,AIXBT/USDT,spot
False,DKA,False,BTC,True,False,DKA/BTC,spot
True,STG,False,USDT,True,False,STG/USDT,spot
False,APT,False,USDD,True,False,APT/USDD,spot
True,EURT,False,USDT,True,False,EURT/USDT,spot
False,VALUE,False,BTC,True,False,VALUE/BTC,spot
True,PROPY,False,USDT,True,False,PROPY/USDT,spot
False,SKL,False,BTC,True,False,SKL/BTC,spot
False,SUSHI,False,HUSD,True,False,SUSHI/HUSD,spot
False,H2O,False,USDT,True,False,H2O/USDT,spot
True,FET,False,USDT,True,False,FET/USDT,spot
True,SOPH,False,USDT,True,False,SOPH/USDT,spot
