active,base,futures,quote,spot,swap,symbol,type
True,0G,False,EUR,True,False,0G/EUR,spot
True,0G,False,USD,True,False,0G/USD,spot
True,1INCH,False,EUR,True,False,1INCH/EUR,spot
True,1INCH,False,USD,True,False,1INCH/USD,spot
True,2Z,False,EUR,True,False,2Z/EUR,spot
True,2Z,False,USD,True,False,2Z/USD,spot
True,AAVE,False,ETH,True,False,AAVE/ETH,spot
True,AAVE,False,EUR,True,False,AAVE/EUR,spot
True,AAVE,False,GBP,True,False,AAVE/GBP,spot
True,AAVE,False,USD,True,False,AAVE/USD,spot
True,AAVE,False,BTC,True,False,AAVE/BTC,spot
True,AB,False,EUR,True,False,AB/EUR,spot
True,AB,False,USD,True,False,AB/USD,spot
True,ACA,False,EUR,True,False,ACA/EUR,spot
True,ACA,False,USD,True,False,ACA/USD,spot
True,ACH,False,EUR,True,False,ACH/EUR,spot
True,ACH,False,USD,True,False,ACH/USD,spot
True,ACT,False,EUR,True,False,ACT/EUR,spot
True,ACT,False,USD,True,False,ACT/USD,spot
True,ACX,False,EUR,True,False,ACX/EUR,spot
True,ACX,False,USD,True,False,ACX/USD,spot
True,ADA,False,AUD,True,False,ADA/AUD,spot
True,ADA,False,ETH,True,False,ADA/ETH,spot
True,ADA,False,EUR,True,False,ADA/EUR,spot
True,ADA,False,GBP,True,False,ADA/GBP,spot
True,ADA,False,USD,True,False,ADA/USD,spot
True,ADA,False,USDC,True,False,ADA/USDC,spot
True,ADA,False,USDT,True,False,ADA/USDT,spot
True,ADA,False,BTC,True,False,ADA/BTC,spot
True,ADI,False,EUR,True,False,ADI/EUR,spot
True,ADI,False,USD,True,False,ADI/USD,spot
True,ADX,False,EUR,True,False,ADX/EUR,spot
True,ADX,False,USD,True,False,ADX/USD,spot
True,AERO,False,EUR,True,False,AERO/EUR,spot
True,AERO,False,USD,True,False,AERO/USD,spot
True,A,False,EUR,True,False,A/EUR,spot
True,AEVO,False,EUR,True,False,AEVO/EUR,spot
True,AEVO,False,USD,True,False,AEVO/USD,spot
False,AGLD,False,EUR,True,False,AGLD/EUR,spot
False,AGLD,False,USD,True,False,AGLD/USD,spot
False,AI16Z,False,EUR,True,False,AI16Z/EUR,spot
False,AI16Z,False,USD,True,False,AI16Z/USD,spot
False,AI16Z,False,USDC,True,False,AI16Z/USDC,spot
False,AI16Z,False,USDT,True,False,AI16Z/USDT,spot
True,AI3,False,EUR,True,False,AI3/EUR,spot
True,AI3,False,USD,True,False,AI3/USD,spot
True,AIN,False,USD,True,False,AIN/USD,spot
False,AIO,False,EUR,True,False,AIO/EUR,spot
True,AIO,False,USD,True,False,AIO/USD,spot
True,AIOZ,False,EUR,True,False,AIOZ/EUR,spot
True,AIOZ,False,USD,True,False,AIOZ/USD,spot
True,AIR,False,EUR,True,False,AIR/EUR,spot
True,AIR,False,USD,True,False,AIR/USD,spot
True,AIXBT,False,EUR,True,False,AIXBT/EUR,spot
True,AIXBT,False,USD,True,False,AIXBT/USD,spot
False,AKE,False,EUR,True,False,AKE/EUR,spot
True,AKE,False,USD,True,False,AKE/USD,spot
True,AKT,False,EUR,True,False,AKT/EUR,spot
True,AKT,False,USD,True,False,AKT/USD,spot
True,ALCH,False,EUR,True,False,ALCH/EUR,spot
True,ALCH,False,USD,True,False,ALCH/USD,spot
True,ALCX,False,EUR,True,False,ALCX/EUR,spot
True,ALCX,False,USD,True,False,ALCX/USD,spot
True,ALGO,False,ETH,True,False,ALGO/ETH,spot
True,ALGO,False,EUR,True,False,ALGO/EUR,spot
True,ALGO,False,GBP,True,False,ALGO/GBP,spot
True,ALGO,False,USD,True,False,ALGO/USD,spot
True,ALGO,False,USDC,True,False,ALGO/USDC,spot
True,ALGO,False,USDT,True,False,ALGO/USDT,spot
True,ALGO,False,BTC,True,False,ALGO/BTC,spot
True,ALICE,False,EUR,True,False,ALICE/EUR,spot
True,ALICE,False,USD,True,False,ALICE/USD,spot
True,ALKIMI,False,EUR,True,False,ALKIMI/EUR,spot
True,ALKIMI,False,USD,True,False,ALKIMI/USD,spot
False,ALLO,False,EUR,True,False,ALLO/EUR,spot
True,ALLO,False,USD,True,False,ALLO/USD,spot
True,ALPHA,False,EUR,True,False,ALPHA/EUR,spot
True,ALPHA,False,USD,True,False,ALPHA/USD,spot
True,ALT,False,EUR,True,False,ALT/EUR,spot
True,ALTHEA,False,EUR,True,False,ALTHEA/EUR,spot
True,ALTHEA,False,USD,True,False,ALTHEA/USD,spot
True,ALT,False,USD,True,False,ALT/USD,spot
True,ANIME,False,EUR,True,False,ANIME/EUR,spot
True,ANIME,False,USD,True,False,ANIME/USD,spot
True,ANKR,False,EUR,True,False,ANKR/EUR,spot
True,ANKR,False,USD,True,False,ANKR/USD,spot
True,ANKR,False,BTC,True,False,ANKR/BTC,spot
True,ANLOG,False,EUR,True,False,ANLOG/EUR,spot
True,ANLOG,False,USD,True,False,ANLOG/USD,spot
True,ANON,False,EUR,True,False,ANON/EUR,spot
True,ANON,False,USD,True,False,ANON/USD,spot
True,APE,False,EUR,True,False,APE/EUR,spot
True,APENFT,False,EUR,True,False,APENFT/EUR,spot
True,APENFT,False,USD,True,False,APENFT/USD,spot
True,APE,False,USD,True,False,APE/USD,spot
True,APE,False,USDC,True,False,APE/USDC,spot
True,APE,False,USDT,True,False,APE/USDT,spot
True,API3,False,EUR,True,False,API3/EUR,spot
True,API3,False,USD,True,False,API3/USD,spot
True,APR,False,EUR,True,False,APR/EUR,spot
True,APR,False,USD,True,False,APR/USD,spot
True,APT,False,EUR,True,False,APT/EUR,spot
True,APT,False,USD,True,False,APT/USD,spot
True,APU,False,EUR,True,False,APU/EUR,spot
True,APU,False,USD,True,False,APU/USD,spot
True,ARB,False,EUR,True,False,ARB/EUR,spot
True,ARB,False,USD,True,False,ARB/USD,spot
True,ARC,False,EUR,True,False,ARC/EUR,spot
True,ARC,False,USD,True,False,ARC/USD,spot
True,AR,False,EUR,True,False,AR/EUR,spot
True,ARKM,False,EUR,True,False,ARKM/EUR,spot
True,ARKM,False,USD,True,False,ARKM/USD,spot
True,ARPA,False,EUR,True,False,ARPA/EUR,spot
True,ARPA,False,USD,True,False,ARPA/USD,spot
True,ART,False,EUR,True,False,ART/EUR,spot
True,ART,False,USD,True,False,ART/USD,spot
True,AR,False,USD,True,False,AR/USD,spot
True,ASRR,False,EUR,True,False,ASRR/EUR,spot
True,ASRR,False,USD,True,False,ASRR/USD,spot
True,ASTER,False,EUR,True,False,ASTER/EUR,spot
True,ASTER,False,USD,True,False,ASTER/USD,spot
True,ASTR,False,EUR,True,False,ASTR/EUR,spot
True,ASTR,False,USD,True,False,ASTR/USD,spot
True,ATH,False,EUR,True,False,ATH/EUR,spot
True,ATH,False,USD,True,False,ATH/USD,spot
True,ATLAS,False,EUR,True,False,ATLAS/EUR,spot
True,ATLAS,False,USD,True,False,ATLAS/USD,spot
True,ATOM,False,ETH,True,False,ATOM/ETH,spot
True,ATOM,False,EUR,True,False,ATOM/EUR,spot
True,ATOM,False,GBP,True,False,ATOM/GBP,spot
True,ATOM,False,USD,True,False,ATOM/USD,spot
True,ATOM,False,USDC,True,False,ATOM/USDC,spot
True,ATOM,False,USDT,True,False,ATOM/USDT,spot
True,ATOM,False,BTC,True,False,ATOM/BTC,spot
True,AUCTION,False,EUR,True,False,AUCTION/EUR,spot
True,AUCTION,False,USD,True,False,AUCTION/USD,spot
True,AUDIO,False,EUR,True,False,AUDIO/EUR,spot
True,AUDIO,False,USD,True,False,AUDIO/USD,spot
True,AUD,False,JPY,True,False,AUD/JPY,spot
True,AUD,False,USD,True,False,AUD/USD,spot
True,AURA,False,EUR,True,False,AURA/EUR,spot
True,AURA,False,USD,True,False,AURA/USD,spot
True,A,False,USD,True,False,A/USD,spot
True,AVAAI,False,EUR,True,False,AVAAI/EUR,spot
True,AVAAI,False,USD,True,False,AVAAI/USD,spot
True,AVAX,False,EUR,True,False,AVAX/EUR,spot
True,AVAX,False,USD,True,False,AVAX/USD,spot
True,AVAX,False,USDC,True,False,AVAX/USDC,spot
True,AVAX,False,USDT,True,False,AVAX/USDT,spot
True,AVNT,False,EUR,True,False,AVNT/EUR,spot
True,AVNT,False,USD,True,False,AVNT/USD,spot
True,AXS,False,EUR,True,False,AXS/EUR,spot
True,AXS,False,USD,True,False,AXS/USD,spot
True,B2,False,EUR,True,False,B2/EUR,spot
True,B2,False,USD,True,False,B2/USD,spot
True,B3,False,EUR,True,False,B3/EUR,spot
True,B3,False,USD,True,False,B3/USD,spot
True,BABY,False,EUR,True,False,BABY/EUR,spot
True,BABY,False,USD,True,False,BABY/USD,spot
True,BADGER,False,EUR,True,False,BADGER/EUR,spot
True,BADGER,False,USD,True,False,BADGER/USD,spot
True,BAL,False,EUR,True,False,BAL/EUR,spot
True,BAL,False,USD,True,False,BAL/USD,spot
True,BANANAS31,False,EUR,True,False,BANANAS31/EUR,spot
True,BANANAS31,False,USD,True,False,BANANAS31/USD,spot
True,BAND,False,EUR,True,False,BAND/EUR,spot
True,BAND,False,USD,True,False,BAND/USD,spot
True,BAT,False,EUR,True,False,BAT/EUR,spot
True,BAT,False,USD,True,False,BAT/USD,spot
True,BCH,False,AUD,True,False,BCH/AUD,spot
True,BCH,False,ETH,True,False,BCH/ETH,spot
True,BCH,False,EUR,True,False,BCH/EUR,spot
True,BCH,False,GBP,True,False,BCH/GBP,spot
True,BCH,False,JPY,True,False,BCH/JPY,spot
True,BCH,False,USD,True,False,BCH/USD,spot
True,BCH,False,USDC,True,False,BCH/USDC,spot
True,BCH,False,USDT,True,False,BCH/USDT,spot
True,BCH,False,BTC,True,False,BCH/BTC,spot
True,BDXN,False,EUR,True,False,BDXN/EUR,spot
True,BDXN,False,USD,True,False,BDXN/USD,spot
True,BEAM,False,EUR,True,False,BEAM/EUR,spot
True,BEAM,False,USD,True,False,BEAM/USD,spot
True,BERA,False,EUR,True,False,BERA/EUR,spot
True,BERA,False,USD,True,False,BERA/USD,spot
True,BERA,False,USDC,True,False,BERA/USDC,spot
True,BERA,False,USDT,True,False,BERA/USDT,spot
True,BERT,False,EUR,True,False,BERT/EUR,spot
True,BERT,False,USD,True,False,BERT/USD,spot
True,BICO,False,EUR,True,False,BICO/EUR,spot
True,BICO,False,USD,True,False,BICO/USD,spot
True,BIGTIME,False,EUR,True,False,BIGTIME/EUR,spot
True,BIGTIME,False,USD,True,False,BIGTIME/USD,spot
True,BILLY,False,EUR,True,False,BILLY/EUR,spot
True,BILLY,False,USD,True,False,BILLY/USD,spot
True,BIO,False,EUR,True,False,BIO/EUR,spot
True,BIO,False,USD,True,False,BIO/USD,spot
True,BIT,False,EUR,True,False,BIT/EUR,spot
