active,base,futures,quote,spot,swap,symbol,type
True,AVA,False,USDT,True,False,AVA/USDT,spot
True,FET,False,BTC,True,False,FET/BTC,spot
True,FET,False,ETH,True,False,FET/ETH,spot
True,ANKR,False,BTC,True,False,ANKR/BTC,spot
True,XMR,False,BTC,True,False,XMR/BTC,spot
True,XMR,False,ETH,True,False,XMR/ETH,spot
True,CRO,False,BTC,True,False,CRO/BTC,spot
True,MTV,False,USDT,True,False,MTV/USDT,spot
True,KMD,False,USDT,True,False,KMD/USDT,spot
True,TEL,False,USDT,True,False,TEL/USDT,spot
True,TT,False,USDT,True,False,TT/USDT,spot
True,AERGO,False,USDT,True,False,AERGO/USDT,spot
True,XMR,False,USDT,True,False,XMR/USDT,spot
True,ATOM,False,BTC,True,False,ATOM/BTC,spot
True,ATOM,False,ETH,True,False,ATOM/ETH,spot
True,ATOM,False,USDT,True,False,ATOM/USDT,spot
True,ETN,False,USDT,True,False,ETN/USDT,spot
True,WAN,False,USDT,True,False,WAN/USDT,spot
True,VSYS,False,USDT,True,False,VSYS/USDT,spot
True,CHR,False,USDT,True,False,CHR/USDT,spot
True,COTI,False,BTC,True,False,COTI/BTC,spot
True,COTI,False,USDT,True,False,COTI/USDT,spot
True,BNB,False,BTC,True,False,BNB/BTC,spot
True,BNB,False,USDT,True,False,BNB/USDT,spot
True,ALGO,False,BTC,True,False,ALGO/BTC,spot
True,ALGO,False,ETH,True,False,ALGO/ETH,spot
True,ALGO,False,USDT,True,False,ALGO/USDT,spot
True,XEM,False,USDT,True,False,XEM/USDT,spot
True,XTZ,False,BTC,True,False,XTZ/BTC,spot
True,XTZ,False,USDT,True,False,XTZ/USDT,spot
True,ZEC,False,BTC,True,False,ZEC/BTC,spot
True,ZEC,False,USDT,True,False,ZEC/USDT,spot
True,ADA,False,BTC,True,False,ADA/BTC,spot
True,ADA,False,USDT,True,False,ADA/USDT,spot
True,ARPA,False,USDT,True,False,ARPA/USDT,spot
True,CHZ,False,BTC,True,False,CHZ/BTC,spot
True,CHZ,False,USDT,True,False,CHZ/USDT,spot
True,WIN,False,BTC,True,False,WIN/BTC,spot
True,WIN,False,USDT,True,False,WIN/USDT,spot
True,BTT,False,USDT,True,False,BTT/USDT,spot
True,ONE,False,BTC,True,False,ONE/BTC,spot
True,ONE,False,USDT,True,False,ONE/USDT,spot
True,LUNA,False,USDT,True,False,LUNA/USDT,spot
True,SXP,False,BTC,True,False,SXP/BTC,spot
True,SXP,False,USDT,True,False,SXP/USDT,spot
True,WIN,False,TRX,True,False,WIN/TRX,spot
True,AMPL,False,BTC,True,False,AMPL/BTC,spot
True,AMPL,False,USDT,True,False,AMPL/USDT,spot
True,DAG,False,USDT,True,False,DAG/USDT,spot
True,KPOL,False,USDT,True,False,KPOL/USDT,spot
True,NWC,False,USDT,True,False,NWC/USDT,spot
True,BEPRO,False,USDT,True,False,BEPRO/USDT,spot
True,VRA,False,BTC,True,False,VRA/BTC,spot
True,VRA,False,USDT,True,False,VRA/USDT,spot
True,KSM,False,USDT,True,False,KSM/USDT,spot
True,DASH,False,USDT,True,False,DASH/USDT,spot
True,SENSO,False,USDT,True,False,SENSO/USDT,spot
True,XDB,False,USDT,True,False,XDB/USDT,spot
True,SYLO,False,USDT,True,False,SYLO/USDT,spot
True,DGB,False,USDT,True,False,DGB/USDT,spot
True,STX,False,BTC,True,False,STX/BTC,spot
True,STX,False,USDT,True,False,STX/USDT,spot
True,COMP,False,USDT,True,False,COMP/USDT,spot
True,CRO,False,USDT,True,False,CRO/USDT,spot
True,EWT,False,BTC,True,False,EWT/BTC,spot
True,WAVES,False,USDT,True,False,WAVES/USDT,spot
True,WAVES,False,BTC,True,False,WAVES/BTC,spot
True,MLK,False,USDT,True,False,MLK/USDT,spot
True,JST,False,USDT,True,False,JST/USDT,spot
True,SUKU,False,USDT,True,False,SUKU/USDT,spot
True,DIA,False,USDT,True,False,DIA/USDT,spot
True,LINK,False,BTC,True,False,LINK/BTC,spot
True,LINK,False,USDT,True,False,LINK/USDT,spot
True,DOT,False,USDT,True,False,DOT/USDT,spot
True,DOT,False,BTC,True,False,DOT/BTC,spot
True,EWT,False,USDT,True,False,EWT/USDT,spot
True,CKB,False,BTC,True,False,CKB/BTC,spot
True,CKB,False,USDT,True,False,CKB/USDT,spot
True,UMA,False,USDT,True,False,UMA/USDT,spot
True,ALEPH,False,USDT,True,False,ALEPH/USDT,spot
True,VELO,False,USDT,True,False,VELO/USDT,spot
True,SUN,False,USDT,True,False,SUN/USDT,spot
True,YFI,False,USDT,True,False,YFI/USDT,spot
True,UNI,False,USDT,True,False,UNI/USDT,spot
True,UOS,False,USDT,True,False,UOS/USDT,spot
True,NIM,False,USDT,True,False,NIM/USDT,spot
True,DEGO,False,USDT,True,False,DEGO/USDT,spot
True,FIL,False,USDT,True,False,FIL/USDT,spot
True,AAVE,False,USDT,True,False,AAVE/USDT,spot
True,AAVE,False,BTC,True,False,AAVE/BTC,spot
True,IOST,False,ETH,True,False,IOST/ETH,spot
True,KCS,False,USDT,True,False,KCS/USDT,spot
True,SNX,False,ETH,True,False,SNX/ETH,spot
True,KCS,False,ETH,True,False,KCS/ETH,spot
True,TEL,False,BTC,True,False,TEL/BTC,spot
True,XYO,False,ETH,True,False,XYO/ETH,spot
True,VET,False,BTC,True,False,VET/BTC,spot
True,KCS,False,BTC,True,False,KCS/BTC,spot
True,ONT,False,BTC,True,False,ONT/BTC,spot
True,DAG,False,ETH,True,False,DAG/ETH,spot
True,WAN,False,BTC,True,False,WAN/BTC,spot
True,KNC,False,ETH,True,False,KNC/ETH,spot
True,LTC,False,USDT,True,False,LTC/USDT,spot
True,BAX,False,ETH,True,False,BAX/ETH,spot
True,BSV,False,USDT,True,False,BSV/USDT,spot
True,TRAC,False,ETH,True,False,TRAC/ETH,spot
True,QTUM,False,USDT,True,False,QTUM/USDT,spot
True,DGB,False,BTC,True,False,DGB/BTC,spot
True,ELA,False,BTC,True,False,ELA/BTC,spot
True,BSV,False,BTC,True,False,BSV/BTC,spot
True,XLM,False,USDT,True,False,XLM/USDT,spot
True,IOTX,False,ETH,True,False,IOTX/ETH,spot
True,TRX,False,BTC,True,False,TRX/BTC,spot
True,ETH,False,DAI,True,False,ETH/DAI,spot
True,KNC,False,BTC,True,False,KNC/BTC,spot
True,MANA,False,ETH,True,False,MANA/ETH,spot
True,ETC,False,USDT,True,False,ETC/USDT,spot
True,ONT,False,ETH,True,False,ONT/ETH,spot
True,XRP,False,USDC,True,False,XRP/USDC,spot
True,XYO,False,BTC,True,False,XYO/BTC,spot
True,TRAC,False,BTC,True,False,TRAC/BTC,spot
True,XLM,False,ETH,True,False,XLM/ETH,spot
True,ETH,False,USDT,True,False,ETH/USDT,spot
True,BSV,False,ETH,True,False,BSV/ETH,spot
True,TRX,False,ETH,True,False,TRX/ETH,spot
True,XLM,False,BTC,True,False,XLM/BTC,spot
True,ETC,False,ETH,True,False,ETC/ETH,spot
True,XRP,False,BTC,True,False,XRP/BTC,spot
True,SNX,False,USDT,True,False,SNX/USDT,spot
True,IOTX,False,BTC,True,False,IOTX/BTC,spot
True,LTC,False,ETH,True,False,LTC/ETH,spot
True,XRP,False,KCS,True,False,XRP/KCS,spot
True,LTC,False,KCS,True,False,LTC/KCS,spot
True,TEL,False,ETH,True,False,TEL/ETH,spot
True,USDT,False,USDC,True,False,USDT/USDC,spot
True,ETH,False,USDC,True,False,ETH/USDC,spot
True,DAG,False,BTC,True,False,DAG/BTC,spot
True,AVA,False,BTC,True,False,AVA/BTC,spot
True,BTC,False,USDT,True,False,BTC/USDT,spot
True,XRP,False,USDT,True,False,XRP/USDT,spot
True,VET,False,ETH,True,False,VET/ETH,spot
True,USDT,False,DAI,True,False,USDT/DAI,spot
True,ETH,False,BTC,True,False,ETH/BTC,spot
True,TRX,False,USDT,True,False,TRX/USDT,spot
True,BTC,False,DAI,True,False,BTC/DAI,spot
True,ONT,False,USDT,True,False,ONT/USDT,spot
True,DASH,False,ETH,True,False,DASH/ETH,spot
True,BAX,False,BTC,True,False,BAX/BTC,spot
True,AVA,False,ETH,True,False,AVA/ETH,spot
True,LTC,False,BTC,True,False,LTC/BTC,spot
True,XRP,False,ETH,True,False,XRP/ETH,spot
True,DGB,False,ETH,True,False,DGB/ETH,spot
True,VET,False,USDT,True,False,VET/USDT,spot
True,REQ,False,BTC,True,False,REQ/BTC,spot
True,SNX,False,BTC,True,False,SNX/BTC,spot
True,NEO,False,BTC,True,False,NEO/BTC,spot
True,NEO,False,USDT,True,False,NEO/USDT,spot
True,ETC,False,BTC,True,False,ETC/BTC,spot
True,BTC,False,USDC,True,False,BTC/USDC,spot
True,ENJ,False,ETH,True,False,ENJ/ETH,spot
True,DASH,False,BTC,True,False,DASH/BTC,spot
True,ZIL,False,ETH,True,False,ZIL/ETH,spot
True,GAS,False,BTC,True,False,GAS/BTC,spot
True,BCH,False,BTC,True,False,BCH/BTC,spot
True,VSYS,False,BTC,True,False,VSYS/BTC,spot
True,BCH,False,USDT,True,False,BCH/USDT,spot
True,SHR,False,USDT,True,False,SHR/USDT,spot
True,ROSE,False,USDT,True,False,ROSE/USDT,spot
True,USDC,False,USDT,True,False,USDC/USDT,spot
True,PLU,False,USDT,True,False,PLU/USDT,spot
True,GRT,False,USDT,True,False,GRT/USDT,spot
True,1INCH,False,USDT,True,False,1INCH/USDT,spot
True,API3,False,USDT,True,False,API3/USDT,spot
True,HTR,False,USDT,True,False,HTR/USDT,spot
True,WBTC,False,BTC,True,False,WBTC/BTC,spot
True,LTC,False,USDC,True,False,LTC/USDC,spot
True,BCH,False,USDC,True,False,BCH/USDC,spot
True,HYDRA,False,USDT,True,False,HYDRA/USDT,spot
True,CRV,False,USDT,True,False,CRV/USDT,spot
True,SUSHI,False,USDT,True,False,SUSHI/USDT,spot
True,BSV,False,USDC,True,False,BSV/USDC,spot
True,ZEN,False,USDT,True,False,ZEN/USDT,spot
True,ADA,False,USDC,True,False,ADA/USDC,spot
True,REN,False,USDT,True,False,REN/USDT,spot
True,LRC,False,USDT,True,False,LRC/USDT,spot
True,LINK,False,USDC,True,False,LINK/USDC,spot
True,KLV,False,USDT,True,False,KLV/USDT,spot
True,KLV,False,BTC,True,False,KLV/BTC,spot
True,THETA,False,USDT,True,False,THETA/USDT,spot
True,QNT,False,USDT,True,False,QNT/USDT,spot
True,BAT,False,USDT,True,False,BAT/USDT,spot
True,DOGE,False,USDT,True,False,DOGE/USDT,spot
True,DOGE,False,USDC,True,False,DOGE/USDC,spot
True,DAO,False,USDT,True,False,DAO/USDT,spot
True,DOGE,False,BTC,True,False,DOGE/BTC,spot
True,CAKE,False,USDT,True,False,CAKE/USDT,spot
True,ORAI,False,USDT,True,False,ORAI/USDT,spot
True,MASK,False,USDT,True,False,MASK/USDT,spot
True,KLV,False,TRX,True,False,KLV/TRX,spot
True,IDEA,False,USDT,True,False,IDEA/USDT,spot
True,PHA,False,USDT,True,False,PHA/USDT,spot
True,ADA,False,KCS,True,False,ADA/KCS,spot
True,DOT,False,KCS,True,False,DOT/KCS,spot
True,BNB,False,KCS,True,False,BNB/KCS,spot
True,DOGE,False,KCS,True,False,DOGE/KCS,spot
True,GAS,False,USDT,True,False,GAS/USDT,spot
True,AVAX,False,USDT,True,False,AVAX/USDT,spot
True,AVAX,False,BTC,True,False,AVAX/BTC,spot
True,KRL,False,BTC,True,False,KRL/BTC,spot
True,KRL,False,USDT,True,False,KRL/USDT,spot
True,ENJ,False,USDT,True,False,ENJ/USDT,spot
True,MANA,False,USDT,True,False,MANA/USDT,spot
True,SKEY,False,USDT,True,False,SKEY/USDT,spot
True,TARA,False,USDT,True,False,TARA/USDT,spot
True,IOST,False,USDT,True,False,IOST/USDT,spot
True,DYP,False,USDT,True,False,DYP/USDT,spot
True,DYP,False,ETH,True,False,DYP/ETH,spot
True,ORBS,False,USDT,True,False,ORBS/USDT,spot
True,BTC3L,False,USDT,True,False,BTC3L/USDT,spot
True,BTC3S,False,USDT,True,False,BTC3S/USDT,spot
True,ETH3L,False,USDT,True,False,ETH3L/USDT,spot
True,ETH3S,False,USDT,True,False,ETH3S/USDT,spot
True,ANKR,False,USDT,True,False,ANKR/USDT,spot
True,SAND,False,USDT,True,False,SAND/USDT,spot
True,VAIOT,False,USDT,True,False,VAIOT/USDT,spot
True,FLUX,False,USDT,True,False,FLUX/USDT,spot
True,ZIL,False,USDT,True,False,ZIL/USDT,spot
True,DODO,False,USDT,True,False,DODO/USDT,spot
True,MAN,False,USDT,True,False,MAN/USDT,spot
True,BAX,False,USDT,True,False,BAX/USDT,spot
True,BOSON,False,USDT,True,False,BOSON/USDT,spot
True,PUNDIX,False,USDT,True,False,PUNDIX/USDT,spot
True,WAXP,False,USDT,True,False,WAXP/USDT,spot
True,HAI,False,USDT,True,False,HAI/USDT,spot
True,FORTH,False,USDT,True,False,FORTH/USDT,spot
True,GHX,False,USDT,True,False,GHX/USDT,spot
True,TOWER,False,USDT,True,False,TOWER/USDT,spot
True,ACE,False,USDT,True,False,ACE/USDT,spot
True,CWS,False,USDT,True,False,CWS/USDT,spot
True,XDC,False,USDT,True,False,XDC/USDT,spot
