active,base,futures,quote,spot,swap,symbol,type
True,索拉拉,False,USDT,True,False,索拉拉/USDT,spot
True,BNT,False,USDT,True,False,BNT/USDT,spot
True,NTX,False,USDT,True,False,NTX/USDT,spot
True,DEVVE,False,USDT,True,False,DEVVE/USDT,spot
True,DAM,False,USDT,True,False,DAM/USDT,spot
True,SBETON,False,USDT,True,False,SBETON/USDT,spot
True,REFACTA,False,USDT,True,False,REFACTA/USDT,spot
True,HTR,False,USDT,True,False,HTR/USDT,spot
True,VOXEL,False,USDT,True,False,VOXEL/USDT,spot
True,DEFI,False,USDT,True,False,DEFI/USDT,spot
True,TURBO,False,USDC,True,False,TURBO/USDC,spot
True,NSG,False,USDT,True,False,NSG/USDT,spot
True,F3,False,USDT,True,False,F3/USDT,spot
True,MANEKI,False,USDT,True,False,MANEKI/USDT,spot
True,AR,False,USDT,True,False,AR/USDT,spot
True,SNT,False,USDT,True,False,SNT/USDT,spot
True,BAKE,False,USDT,True,False,BAKE/USDT,spot
True,IXS,False,USDT,True,False,IXS/USDT,spot
True,ROAM,False,USDT,True,False,ROAM/USDT,spot
True,SOLOMON,False,USDT,True,False,SOLOMON/USDT,spot
False,USDC,False,USDF,True,False,USDC/USDF,spot
True,BTR,False,USDT,True,False,BTR/USDT,spot
True,JDON,False,USDT,True,False,JDON/USDT,spot
True,HANDY,False,USDT,True,False,HANDY/USDT,spot
True,MYTH,False,USDT,True,False,MYTH/USDT,spot
True,SN64,False,USDT,True,False,SN64/USDT,spot
True,DONKEY,False,USDT,True,False,DONKEY/USDT,spot
True,U,False,USDT,True,False,U/USDT,spot
True,MAIV,False,USDT,True,False,MAIV/USDT,spot
False,PUMP,False,USDC,True,False,PUMP/USDC,spot
True,SOULLAYER,False,USDT,True,False,SOULLAYER/USDT,spot
True,NAM,False,USDT,True,False,NAM/USDT,spot
True,DF,False,USDT,True,False,DF/USDT,spot
True,BOSON,False,USDT,True,False,BOSON/USDT,spot
True,UBX,False,USDT,True,False,UBX/USDT,spot
True,NFT,False,USDT,True,False,NFT/USDT,spot
False,MTT,False,USDT,True,False,MTT/USDT,spot
True,ALEO,False,USDT,True,False,ALEO/USDT,spot
True,XTM,False,USDT,True,False,XTM/USDT,spot
True,PURR,False,USDT,True,False,PURR/USDT,spot
False,CREPE1,False,USDT,True,False,CREPE1/USDT,spot
True,ARIAIP,False,USDT,True,False,ARIAIP/USDT,spot
True,BGEO,False,USDT,True,False,BGEO/USDT,spot
True,INSP,False,USDT,True,False,INSP/USDT,spot
True,GHT,False,USDT,True,False,GHT/USDT,spot
True,IQ,False,USDT,True,False,IQ/USDT,spot
True,BNBTIGER,False,USDT,True,False,BNBTIGER/USDT,spot
True,GRIFFAIN,False,USDT,True,False,GRIFFAIN/USDT,spot
True,NTRN,False,USDT,True,False,NTRN/USDT,spot
False,H,False,USDC,True,False,H/USDC,spot
True,TRUTH,False,USDT,True,False,TRUTH/USDT,spot
True,SEED,False,USDT,True,False,SEED/USDT,spot
True,AIBOT,False,USDT,True,False,AIBOT/USDT,spot
True,RSR,False,USDT,True,False,RSR/USDT,spot
True,NS,False,USDT,True,False,NS/USDT,spot
