active,base,futures,quote,spot,swap,symbol,type
True,USDT,False,SGD,True,False,USDT/SGD,spot
True,USDC,False,SGD,True,False,USDC/SGD,spot
True,BTC,False,AUD,True,False,BTC/AUD,spot
True,ETH,False,AUD,True,False,ETH/AUD,spot
True,SOL,False,AUD,True,False,SOL/AUD,spot
True,XRP,False,AUD,True,False,XRP/AUD,spot
True,TRUMP,False,AUD,True,False,TRUMP/AUD,spot
True,USDT,False,AUD,True,False,USDT/AUD,spot
True,USDC,False,AUD,True,False,USDC/AUD,spot
True,BTC,False,AED,True,False,BTC/AED,spot
True,ETH,False,AED,True,False,ETH/AED,spot
True,SOL,False,AED,True,False,SOL/AED,spot
True,XRP,False,AED,True,False,XRP/AED,spot
True,USDT,False,AED,True,False,USDT/AED,spot
True,BTC,False,BRL,True,False,BTC/BRL,spot
True,ETH,False,BRL,True,False,ETH/BRL,spot
True,SOL,False,BRL,True,False,SOL/BRL,spot
True,XRP,False,BRL,True,False,XRP/BRL,spot
True,PEPE,False,BRL,True,False,PEPE/BRL,spot
True,PI,False,BRL,True,False,PI/BRL,spot
True,TRUMP,False,BRL,True,False,TRUMP/BRL,spot
True,USDT,False,BRL,True,False,USDT/BRL,spot
True,USDC,False,BRL,True,False,USDC/BRL,spot
True,BTC,False,EUR,True,False,BTC/EUR,spot
True,ETH,False,EUR,True,False,ETH/EUR,spot
True,SOL,False,EUR,True,False,SOL/EUR,spot
True,DOGE,False,EUR,True,False,DOGE/EUR,spot
True,XRP,False,EUR,True,False,XRP/EUR,spot
True,1INCH,False,EUR,True,False,1INCH/EUR,spot
True,AAVE,False,EUR,True,False,AAVE/EUR,spot
True,ADA,False,EUR,True,False,ADA/EUR,spot
True,ALGO,False,EUR,True,False,ALGO/EUR,spot
True,APE,False,EUR,True,False,APE/EUR,spot
True,APT,False,EUR,True,False,APT/EUR,spot
True,ARB,False,EUR,True,False,ARB/EUR,spot
True,ASTR,False,EUR,True,False,ASTR/EUR,spot
True,ATOM,False,EUR,True,False,ATOM/EUR,spot
True,AVAX,False,EUR,True,False,AVAX/EUR,spot
True,AXS,False,EUR,True,False,AXS/EUR,spot
True,BAT,False,EUR,True,False,BAT/EUR,spot
True,BNB,False,EUR,True,False,BNB/EUR,spot
True,CHZ,False,EUR,True,False,CHZ/EUR,spot
True,COMP,False,EUR,True,False,COMP/EUR,spot
True,CRO,False,EUR,True,False,CRO/EUR,spot
True,CRV,False,EUR,True,False,CRV/EUR,spot
True,DOT,False,EUR,True,False,DOT/EUR,spot
True,DYDX,False,EUR,True,False,DYDX/EUR,spot
True,EGLD,False,EUR,True,False,EGLD/EUR,spot
True,FET,False,EUR,True,False,FET/EUR,spot
True,FLOW,False,EUR,True,False,FLOW/EUR,spot
True,FLR,False,EUR,True,False,FLR/EUR,spot
True,FXS,False,EUR,True,False,FXS/EUR,spot
True,GRT,False,EUR,True,False,GRT/EUR,spot
True,HBAR,False,EUR,True,False,HBAR/EUR,spot
True,HYPE,False,EUR,True,False,HYPE/EUR,spot
True,ICP,False,EUR,True,False,ICP/EUR,spot
True,IMX,False,EUR,True,False,IMX/EUR,spot
True,INJ,False,EUR,True,False,INJ/EUR,spot
True,JTO,False,EUR,True,False,JTO/EUR,spot
True,LDO,False,EUR,True,False,LDO/EUR,spot
True,LINK,False,EUR,True,False,LINK/EUR,spot
True,LTC,False,EUR,True,False,LTC/EUR,spot
True,MANA,False,EUR,True,False,MANA/EUR,spot
True,MINA,False,EUR,True,False,MINA/EUR,spot
True,NEO,False,EUR,True,False,NEO/EUR,spot
True,OP,False,EUR,True,False,OP/EUR,spot
True,PI,False,EUR,True,False,PI/EUR,spot
True,SAND,False,EUR,True,False,SAND/EUR,spot
True,SHIB,False,EUR,True,False,SHIB/EUR,spot
True,SNX,False,EUR,True,False,SNX/EUR,spot
True,STX,False,EUR,True,False,STX/EUR,spot
True,SUI,False,EUR,True,False,SUI/EUR,spot
True,SUSHI,False,EUR,True,False,SUSHI/EUR,spot
True,THETA,False,EUR,True,False,THETA/EUR,spot
True,TON,False,EUR,True,False,TON/EUR,spot
True,TRUMP,False,EUR,True,False,TRUMP/EUR,spot
True,TRX,False,EUR,True,False,TRX/EUR,spot
True,UNI,False,EUR,True,False,UNI/EUR,spot
True,USDT,False,EUR,True,False,USDT/EUR,spot
True,USDC,False,EUR,True,False,USDC/EUR,spot
True,WIF,False,EUR,True,False,WIF/EUR,spot
True,WOO,False,EUR,True,False,WOO/EUR,spot
True,XLM,False,EUR,True,False,XLM/EUR,spot
True,XTZ,False,EUR,True,False,XTZ/EUR,spot
True,YGG,False,EUR,True,False,YGG/EUR,spot
True,BTC,False,TRY,True,False,BTC/TRY,spot
True,ETH,False,TRY,True,False,ETH/TRY,spot
True,SOL,False,TRY,True,False,SOL/TRY,spot
True,XRP,False,TRY,True,False,XRP/TRY,spot
True,PI,False,TRY,True,False,PI/TRY,spot
True,TRUMP,False,TRY,True,False,TRUMP/TRY,spot
True,USDT,False,TRY,True,False,USDT/TRY,spot
True,BTC,False,USD,True,False,BTC/USD,spot
True,ETH,False,USD,True,False,ETH/USD,spot
True,SOL,False,USD,True,False,SOL/USD,spot
True,DOGE,False,USD,True,False,DOGE/USD,spot
True,XRP,False,USD,True,False,XRP/USD,spot
True,BCH,False,USD,True,False,BCH/USD,spot
True,PUMP,False,USD,True,False,PUMP/USD,spot
True,WLFI,False,USD,True,False,WLFI/USD,spot
True,LINEA,False,USD,True,False,LINEA/USD,spot
True,1INCH,False,USD,True,False,1INCH/USD,spot
True,2Z,False,USD,True,False,2Z/USD,spot
True,A,False,USD,True,False,A/USD,spot
True,AAVE,False,USD,True,False,AAVE/USD,spot
True,ACE,False,USD,True,False,ACE/USD,spot
True,ACH,False,USD,True,False,ACH/USD,spot
True,ADA,False,USD,True,False,ADA/USD,spot
True,AERGO,False,USD,True,False,AERGO/USD,spot
True,AEVO,False,USD,True,False,AEVO/USD,spot
True,AGLD,False,USD,True,False,AGLD/USD,spot
True,AIXBT,False,USD,True,False,AIXBT/USD,spot
True,ALGO,False,USD,True,False,ALGO/USD,spot
True,ALLO,False,USD,True,False,ALLO/USD,spot
True,ANIME,False,USD,True,False,ANIME/USD,spot
True,APE,False,USD,True,False,APE/USD,spot
True,API3,False,USD,True,False,API3/USD,spot
True,APT,False,USD,True,False,APT/USD,spot
True,AR,False,USD,True,False,AR/USD,spot
True,ARB,False,USD,True,False,ARB/USD,spot
True,ARG,False,USD,True,False,ARG/USD,spot
True,ARKM,False,USD,True,False,ARKM/USD,spot
True,ASP,False,USD,True,False,ASP/USD,spot
True,ASTR,False,USD,True,False,ASTR/USD,spot
True,ASTER,False,USD,True,False,ASTER/USD,spot
True,ATH,False,USD,True,False,ATH/USD,spot
True,ATOM,False,USD,True,False,ATOM/USD,spot
True,AUCTION,False,USD,True,False,AUCTION/USD,spot
True,AVAX,False,USD,True,False,AVAX/USD,spot
True,AVNT,False,USD,True,False,AVNT/USD,spot
True,AXS,False,USD,True,False,AXS/USD,spot
True,BABYDOGE,False,USD,True,False,BABYDOGE/USD,spot
True,BABY,False,USD,True,False,BABY/USD,spot
