active,base,futures,quote,spot,swap,symbol,type
False,USDT,False,TRY,True,False,USDT/TRY,spot
False,USDT,False,BRZ,True,False,USDT/BRZ,spot
True,BTC,False,USDT,True,False,BTC/USDT,spot
False,BTC,False,TRY,True,False,BTC/TRY,spot
True,BTC,False,USDC,True,False,BTC/USDC,spot
False,BTC,False,USDQ,True,False,BTC/USDQ,spot
True,BTC,False,USDR,True,False,BTC/USDR,spot
False,BTC,False,BRZ,True,False,BTC/BRZ,spot
True,ETH,False,USDT,True,False,ETH/USDT,spot
False,ETH,False,TRY,True,False,ETH/TRY,spot
True,ETH,False,USDC,True,False,ETH/USDC,spot
False,ETH,False,BRZ,True,False,ETH/BRZ,spot
True,ETH,False,BTC,True,False,ETH/BTC,spot
True,XRP,False,USDT,True,False,XRP/USDT,spot
True,XRP,False,USDC,True,False,XRP/USDC,spot
True,LINK,False,USDT,True,False,LINK/USDT,spot
True,LINK,False,USDC,True,False,LINK/USDC,spot
True,XTZ,False,USDT,True,False,XTZ/USDT,spot
False,XTZ,False,USDC,True,False,XTZ/USDC,spot
True,LTC,False,USDT,True,False,LTC/USDT,spot
True,LTC,False,USDC,True,False,LTC/USDC,spot
True,ADA,False,USDT,True,False,ADA/USDT,spot
True,ADA,False,USDC,True,False,ADA/USDC,spot
True,TRX,False,USDT,True,False,TRX/USDT,spot
True,TRX,False,USDC,True,False,TRX/USDC,spot
True,ONT,False,USDT,True,False,ONT/USDT,spot
True,ONT,False,USDC,True,False,ONT/USDC,spot
True,BCH,False,USDT,True,False,BCH/USDT,spot
False,BCH,False,USDC,True,False,BCH/USDC,spot
False,NEO,False,USDT,True,False,NEO/USDT,spot
False,EOS,False,USDT,True,False,EOS/USDT,spot
True,COMP,False,USDT,True,False,COMP/USDT,spot
True,YFI,False,USDT,True,False,YFI/USDT,spot
True,ALGO,False,USDT,True,False,ALGO/USDT,spot
True,DOT,False,USDT,True,False,DOT/USDT,spot
True,DOT,False,USDC,True,False,DOT/USDC,spot
True,UNI,False,USDT,True,False,UNI/USDT,spot
True,AAVE,False,USDT,True,False,AAVE/USDT,spot
True,DOGE,False,USDT,True,False,DOGE/USDT,spot
True,DOGE,False,USDC,True,False,DOGE/USDC,spot
True,BAT,False,USDT,True,False,BAT/USDT,spot
False,BAT,False,USDC,True,False,BAT/USDC,spot
True,CHZ,False,USDT,True,False,CHZ/USDT,spot
True,MANA,False,USDT,True,False,MANA/USDT,spot
True,MANA,False,USDC,True,False,MANA/USDC,spot
True,ENJ,False,USDT,True,False,ENJ/USDT,spot
True,ENJ,False,USDC,True,False,ENJ/USDC,spot
True,SUSHI,False,USDT,True,False,SUSHI/USDT,spot
True,SUSHI,False,USDC,True,False,SUSHI/USDC,spot
True,SNX,False,USDT,True,False,SNX/USDT,spot
True,GRT,False,USDT,True,False,GRT/USDT,spot
False,MKR,False,USDT,True,False,MKR/USDT,spot
False,MKR,False,USDC,True,False,MKR/USDC,spot
True,VET,False,USDT,True,False,VET/USDT,spot
True,ZEC,False,USDT,True,False,ZEC/USDT,spot
True,FIL,False,USDT,True,False,FIL/USDT,spot
True,KSM,False,USDT,True,False,KSM/USDT,spot
True,QTUM,False,USDT,True,False,QTUM/USDT,spot
False,QTUM,False,USDC,True,False,QTUM/USDC,spot
True,XLM,False,USDT,True,False,XLM/USDT,spot
True,XLM,False,USDC,True,False,XLM/USDC,spot
True,ATOM,False,USDT,True,False,ATOM/USDT,spot
True,ATOM,False,USDC,True,False,ATOM/USDC,spot
False,LUNAOLD,False,USDT,True,False,LUNAOLD/USDT,spot
True,SOL,False,USDT,True,False,SOL/USDT,spot
True,SOL,False,USDC,True,False,SOL/USDC,spot
True,AXS,False,USDT,True,False,AXS/USDT,spot
False,MATIC,False,USDT,True,False,MATIC/USDT,spot
False,MATIC,False,USDC,True,False,MATIC/USDC,spot
True,SHIB,False,USDT,True,False,SHIB/USDT,spot
True,SHIB,False,USDC,True,False,SHIB/USDC,spot
False,FTM,False,USDT,True,False,FTM/USDT,spot
True,DYDX,False,USDT,True,False,DYDX/USDT,spot
False,VPAD,False,USDT,True,False,VPAD/USDT,spot
True,SAND,False,USDT,True,False,SAND/USDT,spot
True,ALICE,False,USDT,True,False,ALICE/USDT,spot
False,ALICE,False,USDC,True,False,ALICE/USDC,spot
True,ENS,False,USDT,True,False,ENS/USDT,spot
True,ANKR,False,USDT,True,False,ANKR/USDT,spot
True,GTC,False,USDT,True,False,GTC/USDT,spot
False,OCEAN,False,USDT,True,False,OCEAN/USDT,spot
True,MASK,False,USDT,True,False,MASK/USDT,spot
True,USDC,False,USDT,True,False,USDC/USDT,spot
True,YGG,False,USDT,True,False,YGG/USDT,spot
True,AGLD,False,USDT,True,False,AGLD/USDT,spot
True,SLP,False,USDT,True,False,SLP/USDT,spot
True,T,False,USDT,True,False,T/USDT,spot
True,SPELL,False,USDT,True,False,SPELL/USDT,spot
False,TEL,False,USDT,True,False,TEL/USDT,spot
True,RSR,False,USDT,True,False,RSR/USDT,spot
False,AMP,False,USDT,True,False,AMP/USDT,spot
False,POLY,False,USDT,True,False,POLY/USDT,spot
True,ZRX,False,USDT,True,False,ZRX/USDT,spot
False,TRIBE,False,USDT,True,False,TRIBE/USDT,spot
True,LRC,False,USDT,True,False,LRC/USDT,spot
False,FEI,False,USDT,True,False,FEI/USDT,spot
True,TUSD,False,USDT,True,False,TUSD/USDT,spot
True,USDP,False,USDT,True,False,USDP/USDT,spot
True,DAI,False,USDT,True,False,DAI/USDT,spot
False,DAI,False,USDC,True,False,DAI/USDC,spot
True,C98,False,USDT,True,False,C98/USDT,spot
True,1INCH,False,USDT,True,False,1INCH/USDT,spot
True,KNC,False,USDT,True,False,KNC/USDT,spot
False,DAO,False,USDT,True,False,DAO/USDT,spot
True,BNT,False,USDT,True,False,BNT/USDT,spot
True,CRV,False,USDT,True,False,CRV/USDT,spot
True,UMA,False,USDT,True,False,UMA/USDT,spot
False,PERP,False,USDT,True,False,PERP/USDT,spot
True,CAKE,False,USDT,True,False,CAKE/USDT,spot
True,CVX,False,USDT,True,False,CVX/USDT,spot
True,FXS,False,USDT,True,False,FXS/USDT,spot
False,GNO,False,USDT,True,False,GNO/USDT,spot
