base,quote,status,symbol,trading_disabled,type
BTC,USD,online,BTC-USD,False,SPOT
BTC,USDC,online,BTC-USDC,False,SPOT
ETH,USD,online,ETH-USD,False,SPOT
ETH,USDC,online,ETH-USDC,False,SPOT
XRP,USD,online,XRP-USD,False,SPOT
XRP,USDC,online,XRP-USDC,False,SPOT
SOL,USD,online,SOL-USD,False,SPOT
SOL,USDC,online,SOL-USDC,False,SPOT
ZEC,USD,online,ZEC-USD,False,SPOT
ZEC,USDC,online,ZEC-USDC,False,SPOT
LINK,USD,online,LINK-USD,False,SPOT
LINK,USDC,online,LINK-USDC,False,SPOT
USDT,USD,online,USDT-USD,False,SPOT
DOGE,USD,online,DOGE-USD,False,SPOT
DOGE,USDC,online,DOGE-USDC,False,SPOT
FARTCOIN,USD,online,FARTCOIN-USD,False,SPOT
FARTCOIN,USDC,online,FARTCOIN-USDC,False,SPOT
ADA,USD,online,ADA-USD,False,SPOT
ADA,USDC,online,ADA-USDC,False,SPOT
SUI,USD,online,SUI-USD,False,SPOT
SUI,USDC,online,SUI-USDC,False,SPOT
USDC,EUR,online,USDC-EUR,False,SPOT
BTC,EUR,online,BTC-EUR,False,SPOT
AAVE,USD,online,AAVE-USD,False,SPOT
AAVE,USDC,online,AAVE-USDC,False,SPOT
PENGU,USD,online,PENGU-USD,False,SPOT
PENGU,USDC,online,PENGU-USDC,False,SPOT
HBAR,USD,online,HBAR-USD,False,SPOT
HBAR,USDC,online,HBAR-USDC,False,SPOT
MON,USD,online,MON-USD,False,SPOT
MON,USDC,online,MON-USDC,False,SPOT
USDC,GBP,online,USDC-GBP,False,SPOT
AVAX,USD,online,AVAX-USD,False,SPOT
AVAX,USDC,online,AVAX-USDC,False,SPOT
TAO,USD,online,TAO-USD,False,SPOT
TAO,USDC,online,TAO-USDC,False,SPOT
BTC,USDT,online,BTC-USDT,False,SPOT
LTC,USD,online,LTC-USD,False,SPOT
LTC,USDC,online,LTC-USDC,False,SPOT
XLM,USD,online,XLM-USD,False,SPOT
XLM,USDC,online,XLM-USDC,False,SPOT
BCH,USD,online,BCH-USD,False,SPOT
BCH,USDC,online,BCH-USDC,False,SPOT
ETH,EUR,online,ETH-EUR,False,SPOT
ETH,USDT,online,ETH-USDT,False,SPOT
PEPE,USD,online,PEPE-USD,False,SPOT
PEPE,USDC,online,PEPE-USDC,False,SPOT
BONK,USD,online,BONK-USD,False,SPOT
BONK,USDC,online,BONK-USDC,False,SPOT
UNI,USD,online,UNI-USD,False,SPOT
UNI,USDC,online,UNI-USDC,False,SPOT
BTC,GBP,online,BTC-GBP,False,SPOT
ONDO,USD,online,ONDO-USD,False,SPOT
ONDO,USDC,online,ONDO-USDC,False,SPOT
ICP,EUR,online,ICP-EUR,False,SPOT
DOT,USD,online,DOT-USD,False,SPOT
DOT,USDC,online,DOT-USDC,False,SPOT
ICP,USD,online,ICP-USD,False,SPOT
ICP,USDC,online,ICP-USDC,False,SPOT
ZEN,USD,online,ZEN-USD,False,SPOT
ZEN,USDC,online,ZEN-USDC,False,SPOT
A8,USD,online,A8-USD,False,SPOT
A8,USDC,online,A8-USDC,False,SPOT
NEAR,USD,online,NEAR-USD,False,SPOT
NEAR,USDC,online,NEAR-USDC,False,SPOT
MOODENG,USD,online,MOODENG-USD,False,SPOT
MOODENG,USDC,online,MOODENG-USDC,False,SPOT
ETH,GBP,online,ETH-GBP,False,SPOT
AERO,USD,online,AERO-USD,False,SPOT
AERO,USDC,online,AERO-USDC,False,SPOT
FET,USD,online,FET-USD,False,SPOT
FET,USDC,online,FET-USDC,False,SPOT
SOL,EUR,online,SOL-EUR,False,SPOT
USDT,EUR,online,USDT-EUR,False,SPOT
EURC,USDC,online,EURC-USDC,False,SPOT
WIF,USD,online,WIF-USD,False,SPOT
WIF,USDC,online,WIF-USDC,False,SPOT
USELESS,USD,online,USELESS-USD,False,SPOT
USELESS,USDC,online,USELESS-USDC,False,SPOT
DASH,USD,online,DASH-USD,False,SPOT
DASH,USDC,online,DASH-USDC,False,SPOT
PUMP,USD,online,PUMP-USD,False,SPOT
PUMP,USDC,online,PUMP-USDC,False,SPOT
TRUMP,USD,online,TRUMP-USD,False,SPOT
TRUMP,USDC,online,TRUMP-USDC,False,SPOT
APT,USD,online,APT-USD,False,SPOT
APT,USDC,online,APT-USDC,False,SPOT
TIA,USD,online,TIA-USD,False,SPOT
TIA,USDC,online,TIA-USDC,False,SPOT
XRP,EUR,online,XRP-EUR,False,SPOT
USDT,USDC,online,USDT-USDC,False,SPOT
SEI,USD,online,SEI-USD,False,SPOT
SEI,USDC,online,SEI-USDC,False,SPOT
CRV,USD,online,CRV-USD,False,SPOT
CRV,USDC,online,CRV-USDC,False,SPOT
SOL,USDT,online,SOL-USDT,False,SPOT
MAGIC,USD,online,MAGIC-USD,False,SPOT
MAGIC,USDC,online,MAGIC-USDC,False,SPOT
ENA,USD,online,ENA-USD,False,SPOT
ENA,USDC,online,ENA-USDC,False,SPOT
PRIME,USD,online,PRIME-USD,False,SPOT
PRIME,USDC,online,PRIME-USDC,False,SPOT
ZORA,USD,online,ZORA-USD,False,SPOT
