base_currency,expiration,is_active,kind,option_type,quote_currency,strike,symbol
BTC,1765353600000,True,option,call,BTC,84000.0,BTC-10DEC25-84000-C
BTC,1765353600000,True,option,put,BTC,84000.0,BTC-10DEC25-84000-P
BTC,1765353600000,True,option,call,BTC,85000.0,BTC-10DEC25-85000-C
BTC,1765353600000,True,option,put,BTC,85000.0,BTC-10DEC25-85000-P
BTC,1765353600000,True,option,call,BTC,86000.0,BTC-10DEC25-86000-C
BTC,1765353600000,True,option,put,BTC,86000.0,BTC-10DEC25-86000-P
BTC,1765353600000,True,option,call,BTC,87000.0,BTC-10DEC25-87000-C
BTC,1765353600000,True,option,put,BTC,87000.0,BTC-10DEC25-87000-P
BTC,1765353600000,True,option,call,BTC,88000.0,BTC-10DEC25-88000-C
BTC,1765353600000,True,option,put,BTC,88000.0,BTC-10DEC25-88000-P
BTC,1765353600000,True,option,call,BTC,89000.0,BTC-10DEC25-89000-C
BTC,1765353600000,True,option,put,BTC,89000.0,BTC-10DEC25-89000-P
BTC,1765353600000,True,option,call,BTC,90000.0,BTC-10DEC25-90000-C
BTC,1765353600000,True,option,put,BTC,90000.0,BTC-10DEC25-90000-P
BTC,1765353600000,True,option,call,BTC,91000.0,BTC-10DEC25-91000-C
BTC,1765353600000,True,option,put,BTC,91000.0,BTC-10DEC25-91000-P
BTC,1765353600000,True,option,call,BTC,92000.0,BTC-10DEC25-92000-C
BTC,1765353600000,True,option,put,BTC,92000.0,BTC-10DEC25-92000-P
BTC,1765353600000,True,option,call,BTC,93000.0,BTC-10DEC25-93000-C
BTC,1765353600000,True,option,put,BTC,93000.0,BTC-10DEC25-93000-P
BTC,1765353600000,True,option,call,BTC,94000.0,BTC-10DEC25-94000-C
BTC,1765353600000,True,option,put,BTC,94000.0,BTC-10DEC25-94000-P
BTC,1765353600000,True,option,call,BTC,95000.0,BTC-10DEC25-95000-C
BTC,1765353600000,True,option,put,BTC,95000.0,BTC-10DEC25-95000-P
BTC,1765353600000,True,option,call,BTC,96000.0,BTC-10DEC25-96000-C
BTC,1765353600000,True,option,put,BTC,96000.0,BTC-10DEC25-96000-P
BTC,1765353600000,True,option,call,BTC,97000.0,BTC-10DEC25-97000-C
BTC,1765353600000,True,option,put,BTC,97000.0,BTC-10DEC25-97000-P
BTC,1765353600000,True,option,call,BTC,98000.0,BTC-10DEC25-98000-C
BTC,1765353600000,True,option,put,BTC,98000.0,BTC-10DEC25-98000-P
BTC,1765353600000,True,option,call,BTC,100000.0,BTC-10DEC25-100000-C
BTC,1765353600000,True,option,put,BTC,100000.0,BTC-10DEC25-100000-P
BTC,1765353600000,True,option_combo,,BTC,,BTC-CCAL-11DEC25_10DEC25-94000
BTC,1765440000000,True,option,call,BTC,82000.0,BTC-11DEC25-82000-C
BTC,1765440000000,True,option,put,BTC,82000.0,BTC-11DEC25-82000-P
BTC,1765440000000,True,option,call,BTC,84000.0,BTC-11DEC25-84000-C
BTC,1765440000000,True,option,put,BTC,84000.0,BTC-11DEC25-84000-P
BTC,1765440000000,True,option,call,BTC,85000.0,BTC-11DEC25-85000-C
BTC,1765440000000,True,option,put,BTC,85000.0,BTC-11DEC25-85000-P
BTC,1765440000000,True,option,call,BTC,86000.0,BTC-11DEC25-86000-C
BTC,1765440000000,True,option,put,BTC,86000.0,BTC-11DEC25-86000-P
BTC,1765440000000,True,option,call,BTC,87000.0,BTC-11DEC25-87000-C
BTC,1765440000000,True,option,put,BTC,87000.0,BTC-11DEC25-87000-P
BTC,1765440000000,True,option,call,BTC,88000.0,BTC-11DEC25-88000-C
BTC,1765440000000,True,option,put,BTC,88000.0,BTC-11DEC25-88000-P
BTC,1765440000000,True,option,call,BTC,89000.0,BTC-11DEC25-89000-C
BTC,1765440000000,True,option,put,BTC,89000.0,BTC-11DEC25-89000-P
BTC,1765440000000,True,option,call,BTC,90000.0,BTC-11DEC25-90000-C
BTC,1765440000000,True,option,put,BTC,90000.0,BTC-11DEC25-90000-P
BTC,1765440000000,True,option,call,BTC,91000.0,BTC-11DEC25-91000-C
BTC,1765440000000,True,option,put,BTC,91000.0,BTC-11DEC25-91000-P
BTC,1765440000000,True,option,call,BTC,92000.0,BTC-11DEC25-92000-C
BTC,1765440000000,True,option,put,BTC,92000.0,BTC-11DEC25-92000-P
BTC,1765440000000,True,option,call,BTC,93000.0,BTC-11DEC25-93000-C
BTC,1765440000000,True,option,put,BTC,93000.0,BTC-11DEC25-93000-P
BTC,1765440000000,True,option,call,BTC,94000.0,BTC-11DEC25-94000-C
BTC,1765440000000,True,option,put,BTC,94000.0,BTC-11DEC25-94000-P
BTC,1765440000000,True,option,call,BTC,95000.0,BTC-11DEC25-95000-C
BTC,1765440000000,True,option,put,BTC,95000.0,BTC-11DEC25-95000-P
BTC,1765440000000,True,option,call,BTC,96000.0,BTC-11DEC25-96000-C
BTC,1765440000000,True,option,put,BTC,96000.0,BTC-11DEC25-96000-P
BTC,1765440000000,True,option,call,BTC,97000.0,BTC-11DEC25-97000-C
BTC,1765440000000,True,option,put,BTC,97000.0,BTC-11DEC25-97000-P
BTC,1765440000000,True,option,call,BTC,98000.0,BTC-11DEC25-98000-C
BTC,1765440000000,True,option,put,BTC,98000.0,BTC-11DEC25-98000-P
BTC,1765440000000,True,option,call,BTC,99000.0,BTC-11DEC25-99000-C
BTC,1765440000000,True,option,put,BTC,99000.0,BTC-11DEC25-99000-P
BTC,1765440000000,True,option,call,BTC,100000.0,BTC-11DEC25-100000-C
BTC,1765440000000,True,option,put,BTC,100000.0,BTC-11DEC25-100000-P
BTC,1765440000000,True,option,call,BTC,102000.0,BTC-11DEC25-102000-C
BTC,1765440000000,True,option,put,BTC,102000.0,BTC-11DEC25-102000-P
BTC,1765526400000,True,future,,USD,,BTC-12DEC25
BTC,1765526400000,True,option,call,BTC,55000.0,BTC-12DEC25-55000-C
BTC,1765526400000,True,option,put,BTC,55000.0,BTC-12DEC25-55000-P
BTC,1765526400000,True,option,call,BTC,60000.0,BTC-12DEC25-60000-C
BTC,1765526400000,True,option,put,BTC,60000.0,BTC-12DEC25-60000-P
BTC,1765526400000,True,option,call,BTC,65000.0,BTC-12DEC25-65000-C
BTC,1765526400000,True,option,put,BTC,65000.0,BTC-12DEC25-65000-P
BTC,1765526400000,True,option,call,BTC,70000.0,BTC-12DEC25-70000-C
BTC,1765526400000,True,option,put,BTC,70000.0,BTC-12DEC25-70000-P
BTC,1765526400000,True,option,call,BTC,75000.0,BTC-12DEC25-75000-C
BTC,1765526400000,True,option,put,BTC,75000.0,BTC-12DEC25-75000-P
BTC,1765526400000,True,option,call,BTC,78000.0,BTC-12DEC25-78000-C
BTC,1765526400000,True,option,put,BTC,78000.0,BTC-12DEC25-78000-P
BTC,1765526400000,True,option,call,BTC,80000.0,BTC-12DEC25-80000-C
BTC,1765526400000,True,option,put,BTC,80000.0,BTC-12DEC25-80000-P
BTC,1765526400000,True,option,call,BTC,81000.0,BTC-12DEC25-81000-C
BTC,1765526400000,True,option,put,BTC,81000.0,BTC-12DEC25-81000-P
BTC,1765526400000,True,option,call,BTC,82000.0,BTC-12DEC25-82000-C
BTC,1765526400000,True,option,put,BTC,82000.0,BTC-12DEC25-82000-P
BTC,1765526400000,True,option,call,BTC,83000.0,BTC-12DEC25-83000-C
BTC,1765526400000,True,option,put,BTC,83000.0,BTC-12DEC25-83000-P
BTC,1765526400000,True,option,call,BTC,84000.0,BTC-12DEC25-84000-C
BTC,1765526400000,True,option,put,BTC,84000.0,BTC-12DEC25-84000-P
BTC,1765526400000,True,option,call,BTC,85000.0,BTC-12DEC25-85000-C
BTC,1765526400000,True,option,put,BTC,85000.0,BTC-12DEC25-85000-P
BTC,1765526400000,True,option,call,BTC,86000.0,BTC-12DEC25-86000-C
BTC,1765526400000,True,option,put,BTC,86000.0,BTC-12DEC25-86000-P
BTC,1765526400000,True,option,call,BTC,87000.0,BTC-12DEC25-87000-C
BTC,1765526400000,True,option,put,BTC,87000.0,BTC-12DEC25-87000-P
BTC,1765526400000,True,option,call,BTC,88000.0,BTC-12DEC25-88000-C
BTC,1765526400000,True,option,put,BTC,88000.0,BTC-12DEC25-88000-P
BTC,1765526400000,True,option,call,BTC,89000.0,BTC-12DEC25-89000-C
BTC,1765526400000,True,option,put,BTC,89000.0,BTC-12DEC25-89000-P
BTC,1765526400000,True,option,call,BTC,90000.0,BTC-12DEC25-90000-C
BTC,1765526400000,True,option,put,BTC,90000.0,BTC-12DEC25-90000-P
BTC,1765526400000,True,option,call,BTC,91000.0,BTC-12DEC25-91000-C
BTC,1765526400000,True,option,put,BTC,91000.0,BTC-12DEC25-91000-P
BTC,1765526400000,True,option,call,BTC,92000.0,BTC-12DEC25-92000-C
BTC,1765526400000,True,option,put,BTC,92000.0,BTC-12DEC25-92000-P
BTC,1765526400000,True,option,call,BTC,93000.0,BTC-12DEC25-93000-C
BTC,1765526400000,True,option,put,BTC,93000.0,BTC-12DEC25-93000-P
BTC,1765526400000,True,option,call,BTC,94000.0,BTC-12DEC25-94000-C
BTC,1765526400000,True,option,put,BTC,94000.0,BTC-12DEC25-94000-P
BTC,1765526400000,True,option,call,BTC,95000.0,BTC-12DEC25-95000-C
BTC,1765526400000,True,option,put,BTC,95000.0,BTC-12DEC25-95000-P
BTC,1765526400000,True,option,call,BTC,96000.0,BTC-12DEC25-96000-C
BTC,1765526400000,True,option,put,BTC,96000.0,BTC-12DEC25-96000-P
