base_address,base_name,base_symbol,chain,dex,fdv,liquidity_usd,pair_address,pair_created_at,price_native,price_usd,quote_address,quote_symbol,volume_24h
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,bsc,pancakeswap,2009474589,2338617.38,0x62Fcb3C1794FB95BD8B1A97f6Ad5D8a7e4943a1e,1681625414000,3.6785,3321.53,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,22439823.79
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,bsc,pancakeswap,2008947248,594765.63,0x9F599F3D64a9D99eA21e68127Bb6CE99f893DA61,1683365205000,3320.6628,3320.66,0x55d398326f99059fF775485246999027B3197955,USDT,7375198.62
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,bsc,pancakeswap,2009128844,7795717.12,0xBe141893E4c6AD9272e8C04BAB7E6a10604501a5,1681214432000,3320.9629,3320.96,0x55d398326f99059fF775485246999027B3197955,USDT,14216268.39
0x0000000000000000000000000000000000000000,Ether,ETH,base,uniswap,,2097901.27,0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,1737558457000,3320.4333,3320.43,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USDC,3251734.05
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,bsc,pancakeswap,2010985689,2053154.45,0x531FEbfeb9a61D948c384ACFBe6dCc51057AEa7e,1619277331000,3324.03222,3324.032,0x55d398326f99059fF775485246999027B3197955,USDT,370961.99
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,bsc,pancakeswap,2009609881,10001440.68,0xD0e226f674bBf064f54aB47F42473fF80DB98CBA,1680536288000,3.6788,3321.75,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,18908087.46
factory/osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm/alloyed/allETH,Ethereum,ETH,osmosis,osmosis,400665716683,81819.3,1948-factory_osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm_alloyed_allETH-ibc_498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,1722005086000,3319.6405,3319.64,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,USDC,96739.66
0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,Ether,ETH,starknet,ekubo,76958195,667673.5,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7-0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8-170141183460469235273462165868118016-1000-0x0,1693052952000,3320.2180,3320.21,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,1191539.06
0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,Ether,ETH,starknet,ekubo,76983302,5186041.46,0x03fe2b97c1fd336e750087d68b9b867997fd64a2661ff3ca5a7c771641e8e7ac-0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7-170141183460469235273462165868118016-1000-0x0,1693523146000,0.03583,3321.30,0x03fe2b97c1fd336e750087d68b9b867997fd64a2661ff3ca5a7c771641e8e7ac,WBTC,3764457.29
0x0000000000000000000000000000000000000000,Ether,ETH,ethereum,uniswap,,679747.01,0x00b9edc1583bf6ef09ff3a09f6c23ecb57fd7d0bb75625717ec81eed181e22d7,1737745379000,3321.1843,3321.18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,1894961.3
0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,Ether,ETH,starknet,ekubo,76937677,617584.11,0x033068f6539f8e6e6b131e6b2b814e6c34a5224bc66947c47dab9dfee93b35fb-0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7-170141183460469235273462165868118016-1000-0x0,1764584964000,3319.3328,3319.33,0x033068f6539f8e6e6b131e6b2b814e6c34a5224bc66947c47dab9dfee93b35fb,USDC,1844526.79
0xBFcfA52225Baa5feec5fbb54E6458957D53ddD94,ETH,ETH,pulsechain,pulsex,105740,21657.87,0x77E4e36E9aB013E6d48B34836b61441C328B1738,1738481605000,4.9803,0.0001057,0xA1077a294dDE1B09bB078844df40758a5D0f9a27,WPLS,305.12
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,bsc,pancakeswap,2009281907,33823.96,0x62Cf00528cB7aF872C1f9DD426E655C903F16770,1682798491000,3321.2159,3321.21,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,175953.08
factory/osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm/alloyed/allETH,Ethereum,ETH,osmosis,osmosis,400604780866,223275.99,1982-factory_osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm_alloyed_allETH-factory_osmo1z6r6qdknhgsc0zeracktgpcxf43j6sekq07nw8sxduc9lg0qjjlqfu25e3_alloyed_allBTC,1722855630000,0.03586,3319.13,factory/osmo1z6r6qdknhgsc0zeracktgpcxf43j6sekq07nw8sxduc9lg0qjjlqfu25e3/alloyed/allBTC,BTC,165331
0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,Ether,ETH,starknet,ekubo,76822774,1315055.3,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d-0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7-1020847100762815411640772995208708096-5982-0x0,1708355917000,29047.9891,3314.37,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,257392.6
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,bsc,pancakeswap,2009097883,138747.18,0x539e0EBfffd39e54A0f7E5F8FEc40ade7933A664,1680356039000,3320.9117,3320.91,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,142830.33
0x0000000000000000000000000000000000000000,Ether,ETH,base,uniswap,,1760283.83,0xaf15cd1f9c3874bbcfddfc2b544544612c9de8c8bae28ba21c129c6b286c1e19,1757414511000,3322.04421,3322.044,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USDC,5170185.75
0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,Ether,ETH,starknet,ekubo,76958245,1325928.3,0x033068f6539f8e6e6b131e6b2b814e6c34a5224bc66947c47dab9dfee93b35fb-0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7-0-1003-0x0,1764812651000,3320.2201,3320.22,0x033068f6539f8e6e6b131e6b2b814e6c34a5224bc66947c47dab9dfee93b35fb,USDC,284245.28
2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,Wrapped Ethereum (Sollet),ETH,solana,raydium,170509640,473348.27,8iQFhWyceGREsWnLM8NkG9GC8DvZunGZyMzuyUScgkMK,1669602384000,300.1027,352.65,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,1333.02
2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,Wrapped Ethereum (Sollet),ETH,solana,raydium,169621261,103861.99,9Hm8QX7ZhE9uB8L2arChmmagZZBtBmnzBbpfxzkQp85D,1669603260000,2.5478,350.81,So11111111111111111111111111111111111111112,SOL,1240.82
eth.bridge.near,Ether,ETH,near,rhea-finance,8256889,178431.28,refv1-6354,1744351748000,1830.5318,3324.24,wrap.near,wNEAR,57068.16
0x0000000000000000000000000000000000000000,Ether,ETH,ethereum,uniswap,,14432780.86,0x21c67e77068de97969ba93d4aab21826d33ca12bb9f565d8496e8fda8a82ca27,1737651611000,3320.6141,3320.61,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,8320639.68
ChVAdi1NiARUESUYCFiKE3EyJLYVZmMM7c95fH7dUvG8,Ethereum  ,ETH  ,solana,raydium,347004587553,7860686.23,33duwECNu8E9T95CaouyqQdWfMVnaoSWV8tuGep4Bszt,1764071913000,2891.7048,2891.70,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,253002.55
